English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
Western Africa,Westafrika,,,,,
South-eastern Asia,Südostasien,,,,,
Projects,0,,0,0,,Y
Crack Down on Crypto-Mining,Krypto-Mining abbrechen,,,,,
Feminist Science and Technology Studies,Feministische Wissenschaften und Technologien,,,,,
Consumerist Curriculum,Konsumenten Curriculum,,,,,
Multistrata Agroforestry,Mehrkulturen Agrawirtschaft,,,,,
Animal Liberationist Curriculum,Tierfreisetzungs-Curriculum,,,,,
Marine Protected Areas,Schutzräume für Tiefsee,,,,,
Flexitarian,Flexitarismus,,,,,
Fast-Breeder Reactor,Brutreaktor Energie,,,,,
Malthusian Curriculum,Malthuisches Curriclum,,,,,
Phase Out Commercial Fishing,kommerziellen Fischfang beenden,,,,,
Biochar,Biokohle,,,,,
Rotational Grazing,Rotationsbeweidung,,,,,
Cellular Meat,Kultiviertes Fleisch,,,,,
Expand Recycling,Recycling erweitern,,,,,
Meatless Mondays,Fleischloser Montag,,,,,
Agricultural Robotics,Robotik in der Landwirtschaft,,,,,
Advances in Ecosystem Modelling,Fortschritte in den Ökosystem-Modellen,,,,,
Vegetarian Mandate,Vegetarisches Mandat,,,,,
Relocate Industry to Space,Industrie ins Weltall verlagern,,,,,
Cap and Trade Program for Children,Emissionshandel für Kinder,,,,,
Luxury for All,Luxus für alle,,,,,
High-Density Batteries,Hochleistungs-Batterien,,,,,
Thorium Reactor,Thorium-Reaktor,,,,,
3rd Generation Biofuels,Bio-Sprit der 3. Generation,,,,,
Restore Desert Habitats,Wüsten-Lebensräume wiederherstellen,,,,,
Ecosocialist Video Game,Öko-Soziales Videospiel,,,,,
Utopian Curriculum,Utopisches Curriculum,,,,,
Universal Family Planning,universale Familienplanung,,,,,
Factory Farming Reform,industrielle Landwirtschaftsreform,,,,,
Carbon-Negative Concrete,CO2-neutraler Beton,,,,,
Electric-Arc Furnaces,Elektroofen (Lichtbogenofen),,,,,
Mass Electrification,elektische Massenversorgung,,,,,
Ban Non-Indigenous Hunting,Nicht-Indigene Jagd verbieten,,,,,
Vegan Mandate,Veganes Mandat,,,,,
De-Extinction Research,Forschung zur Wiederbelebung ausgestorbener Arten,,,,,
Open-Ocean Fish Farms,Fischfarmen im offenen Ozean,,,,,
Energy Conservation Campaign,Energiesparkampagne,,,,,
Floating Wind Turbines,Übersee-Windturbinen,,,,,
Indigenous Sovereignty,Indigene Souveränität,,,,,
Green Hydrogen,Grüner Wasserstoff,,,,,
Ocean Iron Fertilization,ozeanische Eisendüngung,,,,,
Mission to Titan,Mission zum Titan,,,,,
Phage Therapy,Phagentherapie,,,,,
Space Colony,Weltall-Kolonie,,,,,
Reconcile Town and Country,Stadt-Land-Abkommen,,,,,
Accelerationist Curriculum,Beschleunigungs-Curriculum,,,,,
Masculinity De-Tox,Männlichkeits-Detox,,,,,
Battery Storage Network,Batteriespeichernetzwerk,,,,,
Electrify Road Vehicles,Elektrofahrzeuge,,,,,
Champagne Socialism,Champagner-Sozialismus,,,,,
The Ark,Die Arche,,,,,
Global Demilitarization,weltweite Abrüstung,,,,,
Compost,Kompostierung,,,,,
Solar Radiation Management (SRM),Sonnen-Reflektions-Management (SRM),,,,,
Psyop,psychologische Kriegsführung,,,,,
Suspend Parliament,Parlament suspendieren,,,,,
Space Elevator,Weltraumaufzug,,,,,
'Green' Container Ships,"""Grüne"" Containerschiffe",,,,,
Perennial Cereals,mehrjähriges Getreide,,,,,
Carbon Capture and Sequestration,Kohlenstoffabscheidung & -bindung,,,,,
Mine Moon for Tritium,Mond-Bergbau für Tritium,,,,,
Ban Exotic Animal Trade,exotischen Tierhandel verbieten,,,,,
Restrict Air Travel,Flugreisen beschränken,,,,,
Fanonist Curriculum,Entkoloniales Curriculum,,,,,
Cloud Seeding,Wolken-Manipulation,,,,,
"Gadgets, Fast Fashion, and Endless TV","Gadgets, Fast Fashion und endloses Fernsehen",,,,,
Direct Air Capture,Direkte Luftaufnahme,,,,,
Continental Smart Grid,konintenales intelligentes Stromnetz,,,,,
Passive Building Mandate & Retrofit,Passivhaus-Mandat und Nachrüstung,,,,,
Reintroduce Apex Predators,Wiederansiedlung von Spitzenraubtieren,,,,,
Antarctic Pumping,Antarktische Pumpen,,,,,
Stop Food Aid,Lebensmittelhilfen beenden,,,,,
Close Borders,Grenzen schließen,,,,,
Underwater Biosphere,Unterwasser Biosphäre,,,,,
Ban High-Seas Fishing,Hochseefischen verbieten,,,,,
Abolish Prisons,Gefängnisse abschaffen,,,,,
One-Child Policy,Ein-Kind-Verordnung,,,,,
Cloud Brightening,Wolkenaufhellung,,,,,
Next-Gen Solar PV,Nächste Generation Photovoltaik,,,,,
Remove Fetters on the Forces of Production!,Fesseln der Arbeiter lösen!,,,,,
Degrowth in Developed Regions,Wachstumsrückgang der Entwicklungsländer,,,,,
Militarized Conservation,Militarisierter Naturschutz,,,,,
Desalination Plants,Entsalzungsanlagen,,,,,
Sewage Treatment Plants,Kläranlagen,,,,,
Unconventional Petroleum Industry,unkonventionelle Ölindustrie,,,,,
Soil Fertility AI,Bodenfruchtbarkeits-AI,,,,,
Alternative Refrigerants,Alternative Klimaanlagen,,,,,
Biofabrication,Biofabrikation,,,,,
Orbital Space Settlements,Siedlungen im Orbit-Raum,,,,,
Esperanto,Esperanto,,,,,
Remediate and Protect Ecosystems,Ökosysteme wiederherstellen und schützen,,,,,
Asteroid Mining,Bergbau auf Asteroiden,,,,,
Regenerative Agriculture,Regenerative Landwirtschaft,,,,,
Stakhanovite Shock Workers,Hochproduktive Arbeiter*innen (Stachanowit),,,,,
Co-Generation,Kraft-Wärme-Kopplung,,,,,
Coastal Wetland Protection and Restoration,Wiederherstellung und Schutz der Küstenfeuchtgebiete,,,,,
Energy Quotas,Energiequoten,,,,,
Hempcrete,Hanfbeton,,,,,
Keep Global South Poor,Globalen Süden unterdrücken,,,,,
Green Roofs,Begrünte Dächer,,,,,
Long-Range Electric Aviation,Elektrische Langstreckenflüge,,,,,
Ban Outdoor Cats,Verbot von Freilaufenden Katzen,,,,,
Expand Nature Preserves,Naturschutzgebiete erweitern,,,,,
Eliminate Natural Predation,Natürliche Raubtiere beseitigen,,,,,
Drought-Resistant Crops,Dürreresistentes Getreide,,,,,
Pedestrian and Bike-Friendly Cities,Fuß- & Fahrradfreundliche Städte,,,,,
Biosphere 3,Biosphäre 3.0,,,,,
Ban Cars,Autos verbieten,,,,,
Search for Extraterrestrial Life,Außerirdische Lebensform suchen,,,,,
Rien Faire Comme une Bête,"Sein, sonst nichts, ohne alle weitere Bestimmung und Erfüllung",,,,,
Deep Sea Mining,Tiefsee-Bergbau,,,,,
De-Extinction Program,Programm zur Wiederbelebung ausgestorbener Arten,,,,,
Food Waste Campaign,Kampagne gegen Lebensmittelverschwendung,,,,,
Low-Methane Cattle Fodder,Methanarmes Viehfutter,,,,,
Abolish Zoos,Zoos abschaffen,,,,,
Ecofeminist Curriculum,Ökofeministisches Curriculum,,,,,
Expand Public Transit,ÖPNV erweitern,,,,,
Environmentalist Curriculum,Umweltaktivistisches Curriculum,,,,,
Artificial Moons,Künstliche Monde,,,,,
(Mostly) Full Automation,(fast) vollständige Automatisierung,,,,,
Bioenergy Carbon Capture and Sequestration (BECCS),Bioenergie mit CO2-Abscheidung und -Speicherung,,,,,
Wooden Skyscrapers,Hochhäuser aus Holz,,,,,
Nuclear Fusion,Kernfusion,,,,,
Project Descriptions,0,,0,0,,Y
"Suspend parliament so that nothing gets in the way of your plans. This will give you some time and political capital carry out your agenda, but discontent will increase.","Suspendiere das Parlament damit niemand deine Pläne durchkreuzen kann. Dadurch gewinnst du etwas Zeit für deine politische Agenda, aber auch die Unzufriedenheit steigt.",,,,,
Start a campaign to encourage energy conservation and low-energy lifestyles.,Starte eine Kampagne um Energie zu sparen und einen energiesparenden Lebensstil zu forcieren.,,,,,
Send radio waves into the dark void surrounding us. The hope is that we're not alone.,"Sende Radio-Wellen ins All in der Hoffnung, dass wir nicht allein sind.",,,,,
"Ban fishing outside of exclusive economic zones (200 miles from the coast), effectively creating a huge nature preserve. However, most fish are near the coast so ecological benefits and economic impacts will be limited.","Verbiete den Fischfang außerhalb exklusiver Fangzonen (200 Meilen von den Küstengebieten), eine effektive und riesige Naturschutzzone. Allerdings schwimmen die meisten Fische Nahe den Küsten, sodass der ökologische und ökonomische Gewinn überschaubar bleibt.",,,,,
"Introduce an environmentalist curriculum to provide an ecological foundation to social thought. Students will read classic texts by Rachel Carson, Aldo Leopold, and Elizabeth Kolbert.","Führe ein umweltaktivistisches Curriculum ein, um früh für ökologische Sensibilität zu sorgen. Studenten werden Texte von Rachel Carson, Aldo Leopold und Elizabeth Kolbert lesen.",,,,,
"Soil and vegetation function as living roof insulation, moderating building temperatures year-round. Greenhouse gas emissions are lower.",Boden und Pflanzen als lebende Isolation auf den Dächern der Stadt. Dadurch lässt sich die Gebäudetemperatur ganzjährlich senken. Die Treibhausgas-Emission dieser Gebäude ist ebenfalls geringer.,,,,,
"Perennial versions of the major cereal crops mean they don't need to be replanted each year, disturbing the soil less and sequestering more in deep roots.","Eine mehrjährige Version der gängigen Getreidearten bedeutet, dass sie nicht jährlich ausgesäht werden müssen. Dadurch wird der Boden weniger belastet und er wird durch mehr tiefe Wurzeln durchzogen.",,,,,
"Scale up concrete production from hemp, locking carbon in building materials.","Verwende mehr Hanfanteile im Beton, um damit Kohlenstoff in den Gebäuden zu speichern.",,,,,
"Titan has an abundance of liquid hydrocarbons, more than even Earth. We could go get it...but why?","Titan hat eine Menge Kohlenwasserstoff, sehr viel mehr als die Erde, das könnten wir nutzen.. aber wieso sollten wir?",,,,,
Limit air travel to only long-haul trips that can't be accomplished by train.,"Flugreisen dürfen nur für große Distanzen durchgeführt werden, die nicht mit dem Zug erreichbar sind.",,,,,
"Use high-flying jets to release sulfur aerosols or other particles into the stratosphere, which will reduce incoming solar radiation and cool the planet. Think of it as an artificial and permanent volcanic eruption. The consequences, however, are not fully understood.","Verwende Flugzeuge, die Schwefel-Aerosole und andere Partikel in die Stratosphäre entlassen. Dadurch reduziert sich die Sonnenstrahlung und der Planet kühlt ab, vergleichbar mit einem dauerhaften Vulkanausbruch. Die Folgen sind allerdings noch nicht völlig verstanden.",,,,,
"Achieve a goal set out in the Communist Manifesto: the 'gradual abolition of all the distinction between town and country by a more equable distribution of the populace over the country.' Bring culture into the countryside to combat the 'idiocy' of rural life. Bring farms and gardens into the city, so people can discover their green thumbs. ","Erreiche das Ziel, das im kommunistischen Manifest beschrieben ist: Die Auflösung der unterschiede zwischen Stadt und Land durch die gleichmäßige Verteilung der Bevölkerung auf das Land. Bringe Kultur ins Landleben und beende die ""Idiotie"". Bringe außerdem Farmen und Gärten in die Städte, damit die Menschen dort ihren Grünen Daumen erkennen.",,,,,
Transfer ancestral lands back to their historical stewards. Indigenous-managed territories often has greater biodiversity than comparable ecosystems.,Übergebe die Länder wieder ihren ursprünglichen historischen Eigentümern. Indigene Landschaften haben häufig eine höhere Biodiversität als vergleichbare Ökosysteme.,,,,,
Reduces need for fuel-intensive transport for the space industry.,Reduziere den Bedarf an spritintensiven Lieferungen für die Weltraumindustrie.,,,,,
"Give students an anti-speciesist education where they question human supremacy. After all, what makes us so different from animals? Students will read classics such as 'Beasts of Burden', 'Animal Liberation', and 'Zoopolis'. This educational program will improve your relations with the Animal Liberationist.","Schule Studenten in Bereichen der Anti-Spezies-Studien wo die menschliche Übermacht infrage gestellt wird. Was unterscheidet uns überhaupt von den Tieren? Studenten lesen Literator wie ""Beasts of Burden"", ""Animal Liberation - Die Befreiung der Tiere"" und ""Zoopolis"". Dieses Studienprogramm wird die Beziehung zu den Tierschützern verbessern.",,,,,
"Create a new curriculum that won't teach critical thinking, but rather greed and mindless individualism. Just get a good job and try to keep up with the Joneses. Books by Steven Pinker and Thomas Friedman are often assigned; 'American Psycho' is taught unironically. This curriculum improves your relationship to the Consumerist.","Erzeuge ein neues Curriculum das weniger kritische Denken lehrt sondern Gier und Individualismus in den Vordergrund stellt. Mache einen ordentlichen Job und stell dich gut mit den Schmidts. Bücher von Steven Pinker and Thomas Friedman werden oft gelesen. ""American Psycho"" wird ohne Ironie gelehrt. Dieses Curriculum wird die Beziehung zu den Konsumenten stärken",,,,,
This policy will reduce population by halting food aid to famished regions. Mortality will go up significantly.,"Die Richtlinie wird die Bevölkerung drastisch reduzieren, indem keine Lebensmittelunterstützung mehr angeboten wird. Dadurch erhöht sich die Sterblichkeit deutlich.",,,,,
"Mine resources to build infrastructure in space, harvesting fuel and beaming solar energy back to Earth.","Abbau von Ressourcen um Infrastruktur im Weltall aufzubauen, um dort Öl zu fördern und mehr Sonnenenergie auf die Erde zu bringen.",,,,,
"Socialism is about providing not just bread and roses. Perhaps also BVLGARI and Ferraris for all. This policy will raise contentedness, but at a great environmental cost. ","Sozialismus handelt nicht nur von Brot und Rosen. Vielleicht darf es auch mal ein BVLGARI und Ferrari für alle sein. Diese Richtlinie wird die allgemeine Zufriedenheit erhöhen, allerdings auf Kosten der Umwelt.",,,,,
"Research and develop nuclear reactors that run on spent uranium and generates more fissile material than it consumes. Current designs suffer from many issues, such as relying on volatile liquid sodium coolant.","Erforschung und Entwicklung von Kernreaktoren, die mit verbrauchtem Uran betrieben werden und mehr spaltbares Material erzeugen als sie verbrauchen. Die derzeitigen Konzepte weisen zahlreiche Probleme auf, wie z. B. die Verwendung des flüchtigen Kühlmittels Natrium.",,x,,,
"This new curriculum will teach students to think critically about the supposed objectivity of science or the naturalness of patriarchy. Students will read classics such as the 'Cyborg Manifesto', the 'Sexual Politics of Meat', the 'Parable of the Sower'. This policy will improve your relationship with the Ecofeminist. ","Dieser neue Lehrplan wird den Studenten lehren, kritisch über die angebliche Objektivität der Wissenschaft oder die Natürlichkeit des Patriarchats nachzudenken. Die Schüler werden Klassiker wie das ""Cyborg Manifest"", die ""Sexual Politics of Meat"" und das ""Gleichnis vom Sämann"" lesen. Diese Politik wird Ihre Beziehung zum Ökofeminismus verbessern. ",,,,,
"Inject particles into clouds to reflect more sunlight, reducing global temperatures.","Injektion von Partikeln in die Wolken, um mehr Sonnenlicht zu reflektieren und die globalen Temperaturen zu senken.",,,,,
Install DAC units to take CO2 out of the atmosphere.,"Installieren Sie DAC-Anlagen, um der Atmosphäre CO2 zu entziehen.",,,,,
"Teach children and adolescents that they can move mountains, channel rivers, and reshape the Earth until it becomes a mere human artifact. Socialism should remove the fetters on the forces of production, accelerate scientific developments, and reach for the stars! Students will read Edward Bellamy, Aaron Bastani, and Mikhail Budyko.","Bringen Sie Kindern und Jugendlichen bei, dass sie Berge versetzen, Flüsse kanalisieren und die Erde umgestalten können, bis sie zu einem bloßen menschlichen Artefakt wird. Der Sozialismus sollte die Fesseln der Produktionskräfte entfernen, die wissenschaftlichen Entwicklungen beschleunigen und nach den Sternen greifen! Die Schüler lesen Edward Bellamy, Aaron Bastani und Mikhail Budyko.",,,,,
"Restore, remediate, and/or reforest any land that has been degraded or otherwise affected by human activity, including peatlands, coastal ecosystems, forests, and more.","Wiederherstellung, Sanierung und/oder Wiederaufforstung von Flächen, die durch menschliche Aktivitäten geschädigt oder anderweitig beeinträchtigt wurden, einschließlich Torfgebieten, Küstenökosystemen, Wäldern usw.",,,,,
"Research the use of viruses ('phages') to kill bacteria. See this as a global insurance policy against the eventual obsolescence of antibiotics due to antimicrobial resistance (AMR). Phages might not be as effective as antibiotics, but they are better than nothing. ","Erforschung des Einsatzes von Viren (""Phagen"") zur Abtötung von Bakterien. Betrachten Sie dies als eine globale Versicherungspolice gegen das mögliche Aussterben von Antibiotika aufgrund antimikrobieller Resistenzen (AMR). Phagen sind vielleicht nicht so wirksam wie Antibiotika, aber sie sind besser als nichts. ",,,,,
"Make champagne an everyday luxury. After all, socialism is about roses as well as bread.","Machen Sie Champagner zu einem alltäglichen Luxus. Schließlich geht es im Sozialismus nicht nur um Brot, sondern auch um Rosen.",,,,,
"Cats kill 1.3-4 billion birds in US alone. Keeping cats indoors will help preserve avian and reptilian biodiversity, and protect the cats from cars and coyotes too.","Katzen töten allein in den USA 1,3-4 Milliarden Vögel. Die Haltung von Katzen als Haustiere trägt zur Erhaltung der Artenvielfalt von Vögeln und Reptilien bei und schützt die Katzen auch vor Autos und Füchsen..",,,,,
"There is no official money in the post-revolutionary society, but libertarians still use crypto on the black market. Take thousands of these cryptographic-solving machines off the grid to save some electricity. ","In der postrevolutionären Gesellschaft gibt es kein offizielles Geld, aber die Libertären verwenden trotzdem Kryptowährungen auf dem Schwarzmarkt. Nehmen Sie Tausende dieser Krypto-Maschinen vom Netz, um Strom zu sparen. ",,,,,
Pump water from the ocean onto Antarctica to reduce melting rates.,"Wasser aus dem Ozean in die Antarktis pumpen, um die Schmelzrate zu verringern.",,,,,
Begin a campaign to address food waste across all parts of the food system.,Beginn einer Kampagne zur Bekämpfung der Lebensmittelverschwendung in allen Bereichen des Lebensmittelsystems.,,,,,
Increase amount of habitable land under protection to preserve biodiversity.,"Vergrößerung der Naturschutzgebiete, um die biologische Vielfalt zu erhalten.",,,,,
Scale up carbon-negative concrete production processes.,"Ausweitung der Verfahren zur Herstellung von Beton, welcher CO2 einsparen soll.",,,,,
Expand desalination capacity to supplement dwindling freshwater supplies in stressed regions.,Ausbau der Entsalzungskapazitäten zur Ergänzung der schwindenden Süßwasservorräte in Krisenregionen.,,,,,
Illuminate cities using satellites that will reflect sunlight onto nighttime cities below. This project will marginally lower electrical demand and will adversely affect nocturnal animals.,"Beleuchtung von Städten mit Hilfe von Satelliten, die das Sonnenlicht auf die nächtlichen Städte reflektieren. Dieses Projekt wird die Stromnachfrage geringfügig senken und sich negativ auf nachtaktive Tiere auswirken.",,,,,
Mandate installation of point-source carbon capture and sequestration (CSS) on all fossil-fuel using facilities to store CO2 underground.,"Verpflichtung zur Installation einer punktuellen Kohlenstoffabscheidung und -sequestrierung (CSS) in allen Anlagen, die fossile Brennstoffe verwenden, um CO2 unterirdisch zu speichern.",,,,,
"Implement guidelines for all new construction to use little energy thanks to improvements in insulation, clever design, and energy-production, and retrofit existing buildings to follow suit.","Umsetzung von Richtlinien für alle Neubauten, die dank Verbesserungen bei der Isolierung, intelligentem Design und Energieerzeugung wenig Energie verbrauchen, sowie Nachrüstung bestehender Gebäude, um diese zu erreichen.",,,,,
"Introduce a new curriculum that argues population is the main driver of the environmental crisis. Children will be taught Malthusian classics such as 'An Essay on Population', 'The Tragedy of the Commons', and 'The Population Bomb'. This curriculum will endear you to the Malthusian but antagonize the Fanonist. ","Einführung eines neuen Curriculum, in dem die Bevölkerung als Hauptursache für die Umweltkrise genannt wird. Die Kinder werden mit Malthusianischen Klassikern wie ""An Essay on Population"", ""The Tragedy of the Commons"" und ""The Population Bomb"" vertraut gemacht. Dieses Curriculum wird die Malthusianer begeistern, die Fanonisten aber verärgern. ",,,,,
"Cell-based meat or ""clean meat"" is in the news, but will it be as popular as meat?","Fleisch auf Zellbasis oder ""sauberes Fleisch"" ist in aller Munde, aber wird es so beliebt sein wie Fleisch?",,,,,
Develop new more drought-resistant varieties and encourage the adoption of existing drought-resistant crops.,"Entwicklung neuer, dürreresistenterer Sorten und Förderung der Einführung bereits vorhandener dürreresistenter Pflanzen.",,,,,
"Gradual replacement of hydrofluorocarbons (HFCs) with alternative refrigerants like ammonia, carbon dioxide, propane, and isobutane that have a significantly lower global warming potential.","Schrittweiser Ersatz von Fluorkohlenwasserstoffen (FKW) durch alternative Kältemittel wie Ammoniak, Kohlendioxid, Propan und Isobutan, die ein deutlich geringeres Treibhauspotenzial haben.",,,,,
"People will work longer and harder, but socialism will be built faster.","Die Menschen werden länger und härter arbeiten, aber der Sozialismus wird schneller aufgebaut.",,,,,
Significantly expand the area of no-take marine reserves.,Deutliche Ausweitung der Meeresschutzgebiete.,,,,,
III-V Semiconductors solar panels and perovskite-based panels,III-V-Halbleiter-Solarmodule und Module auf Perowskit-Basis,,,,,
The good life isn't about having more things. Degrowth reduces energy and material consumption in the Global North while funding social programs to provide material  support for everyone.,"Das gute Leben besteht nicht darin, mehr Dinge zu besitzen. Degrowth reduziert den Energie- und Materialverbrauch im Globalen Norden und finanziert gleichzeitig Sozialprogramme, die materielle Unterstützung für alle bieten.",,,,,
"New curriculum includes a vast literacy campaign to empower the working class and peasants of the global South. The works of Frantz Fanon, Paulo Freire, Audre Lorde will find a broad audience. This program will improve living conditions in the global South as well as your relationship with the Fanonist. ","Das neue Curriculum umfasst eine umfassende Alphabetisierungskampagne zur Stärkung der Arbeiterklasse und der Bauern im globalen Süden. Die Werke von Frantz Fanon, Paulo Freire und Audre Lorde werden ein breites Publikum finden. Dieses Programm wird die Lebensbedingungen im globalen Süden ebenso verbessern wie Ihre Beziehung zum Fanonisten. ",,,,,
"Develop a video game where citizens can devise their own plans regulating the global economy and natural world. People can debate, compare plans, and become involved in a lively socialist democracy.","Entwickel ein Videospiel, in dem die Bürger*innen ihre eigenen Pläne zur Regulierung der globalen Wirtschaft und der natürlichen Welt entwerfen können. Die Menschen können diskutieren, Pläne vergleichen und sich an einer lebendigen sozialistischen Demokratie beteiligen.",,,,,
Rewild newly arid lands into vibrant ecosystems. Deserts can support a surprising variety of plants and animals if given a chance to recover. More plants might lower the albedo and heat up the atmosphere slightly.,"Verwandel neue Trockengebiete in lebendige Ökosysteme. Wüsten können eine erstaunliche Vielfalt an Pflanzen und Tieren beherbergen, wenn man ihnen die Chance gibt, sich zu erholen. Mehr Pflanzen könnten die Albedo (Reflexionsstrahlung) verringern und die Atmosphäre leicht aufheizen.",,,,,
"An old fashioned, low-tech solution that could have massive carbon sequestration potential. Half of all waste is biodegradable, but instead of decomposing into a useful carbon-rich fertilizer, this waste produces methane emissions when it is dumped in the anaerobic landfills.","Eine altmodische Low-Tech-Lösung, die ein enormes Kohlenstoffbindungspotenzial haben könnte. Die Hälfte aller Abfälle ist biologisch abbaubar, aber anstatt sich in einen nützlichen, kohlenstoffreichen Dünger zu zersetzen, produzieren diese Abfälle Methanemissionen, wenn sie in anaeroben Deponien abgelagert werden.",,,,,
Expand recycling infrastructure to rural and undeveloped areas and implement research and development initiatives in electronics recycling and plasma gasification.,Ausweitung der Recycling-Infrastruktur auf ländliche und unterentwickelte Gebiete und Durchführung von Forschungs- und Entwicklungsinitiativen in den Bereichen Elektronikrecycling und Plasmagasifizierung.,,,,,
"Increasing production yields for farmers using robots to reduce human labor for tasks like spraying and weeding, crop harvesting, seeding and planting, soil analysis, and livestock feeding.","Steigerung der Produktionserträge für Landwirte durch den Einsatz von Robotern, um die menschliche Arbeitskraft für Aufgaben wie Spritzen und Jäten, Ernte, Aussaat und Pflanzung, Bodenanalyse und Viehfütterung zu reduzieren.",,,,,
Develop improved and scalable algae biofuel production processes.,Entwicklung verbesserter und skalierbarer Verfahren zur Herstellung von Biokraftstoffen aus Algen.,,,,,
"Conduct research into nuclear fusion. Odds of success are low and fusion still has many of the drawback of fission (radioactive waste, water-use for coolant, reliant on rare resources), though improved. Still, a possible source of low-carbon plentiful energy.","Durchführung von Forschungsarbeiten zur Kernfusion. Die Erfolgsaussichten sind gering, und die Kernfusion hat immer noch viele Nachteile der Kernspaltung (radioaktive Abfälle, Wasserverbrauch für Kühlmittel, Abhängigkeit von seltenen Ressourcen), auch wenn sie verbessert wurde. Dennoch ist sie eine mögliche Quelle für kohlenstoffarme Energie in Hülle und Fülle.",,,,,
"Install co-generation systems in eligible structures and power facilities to generate electricity and heat at the same time, making use of otherwise wasted heat.","Installation von Kraft-Wärme-Kopplungssystemen in förderfähigen Gebäuden und Kraftwerken zur gleichzeitigen Erzeugung von Strom und Wärme, um ansonsten verschwendete Wärme zu nutzen.",,,,,
"Biodiversity has been plummeting, and people fear that most of earth's species will be lost forever. This project is an effort to collect and store DNA samples of Earth's remaining biodiversity in case the worst should come to pass.","Die biologische Vielfalt ist stark zurückgegangen, und die Menschen befürchten, dass die meisten Arten auf der Erde für immer verloren sein werden. Bei diesem Projekt geht es darum, DNA-Proben der verbleibenden Artenvielfalt der Erde zu sammeln und aufzubewahren, für den Fall, dass das Schlimmste eintreten sollte.",,,,,
"Reducing speed of freighters by 10% increases fuel efficiency by a third. Improvements in ship design, cleaner fuels, and sails can reduce emissions further up to 55%. ","Eine Verringerung der Geschwindigkeit von Frachtern um 10 % erhöht die Treibstoffeffizienz um ein Drittel. Durch Verbesserungen der Schiffskonstruktion, sauberere Kraftstoffe und Segel können die Emissionen um bis zu 55 % gesenkt werden. ",,,,,
"Invest in the development of infrastructure for zero-carbon hydrogen fuel generation. This makes it easier to decarbonize fuel-based industrial processes like steel and concrete productions, but requires lots of electricity.","Investitionen in die Entwicklung der Infrastruktur für die kohlenstofffreie Erzeugung von Wasserstoff als Brennstoff. Dies erleichtert die Dekarbonisierung brennstoffbasierter industrieller Prozesse wie der Stahl- und Betonherstellung, erfordert aber viel Strom.",,,,,
"Build a self-sustainable underwater habitat for long-term human, plant and animal habitation.","Schaffung eines sich selbst erhaltenden Unterwasserlebensraums für die langfristige Ansiedlung von Menschen, Pflanzen und Tieren.",,,,,
"Implement a ban on all meat products, effective immediately.",Einführung eines Verbots aller Fleischprodukte mit sofortiger Wirkung.,,,,,
"Hunting is an important driver of the Sixth Extinction, but still secondary to land-use change caused by the livestock industry. Seven per cent of all mammals are threatened with extinction because of hunting. ","Die Jagd ist eine wichtige Ursache für das sechste Aussterben, aber immer noch zweitrangig gegenüber den durch die Viehwirtschaft verursachten Landnutzungsänderungen. Sieben Prozent aller Säugetiere sind durch die Jagd vom Aussterben bedroht. ",,,,,
