English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
Unconventional Petroleum Industry,Indústria Petrolífera Não Convencional,,,,,
Soil Fertility AI,IA para Fertilidade dos Solos,Inteligência Artificial para Fertilidade dos Solos,,,,
Alternative Refrigerants,Refrigerantes Alternativos,,,,,
Biofabrication,Biofabricação,,,,,
Orbital Space Settlements,Colóniais Espaciais em Órbita,,,,"Can't find a good PT term for ""Settlement"" and settled (haha) on ""Colony""",
Esperanto,Esperanto,,,,,
Remediate and Protect Ecosystems,Remediar e Proteger Ecossistemas,,,,,
Asteroid Mining,Mineração de Asteroides,,,,,
Regenerative Agriculture,Agricultura Regenerativa,,,,,
Stakhanovite Shock Workers,Trabalhadores de Choque Stakhanovitas,Trabalhadores Stakhanovitas,,,,
Co-Generation,Cogeração,,,,,
Coastal Wetland Protection and Restoration,Proteção e Restoração de Pântanos Costais,,,,,
Energy Quotas,Quotas de Energia,Quotas Energéticas,,,,
Hempcrete,Betão de Cânhamo,Blocos de Cânhamo,,,,
Keep Global South Poor,Manter o Sul Global Pobre,,,,,
Green Roofs,Telhados Verdes,Cobertura Verde,,,,
Long-Range Electric Aviation,Aviação Elétrica de Longo Alcance,,,,,
Ban Outdoor Cats,Banir Gatos Ferais,,,,,
Expand Nature Preserves,Expandir Reservas Naturais,,,,Is there a difference between a Nature Reserve and a Nature Preserve?,
Eliminate Natural Predation,Eliminar Predação Natural,,,,,
Drought-Resistant Crops,Plantações Resistentes a Secas,,,,,
Pedestrian and Bike-Friendly Cities,Cidades Viáveis para Pedestres e Ciclistas,Cidades para Pedestres e Ciclistas,,,,
Biosphere 3,Biosfera 3,,,,,
Ban Cars,Banir Carros,,,,,
Search for Extraterrestrial Life,Procurar por Vida Extraterrestre,,,,,
Rien Faire Comme une Bête,Rien Faire Comme une Bête,,,,I assume this stays in french,
Deep Sea Mining,Mineração no Fundo do Mar,,,,,
De-Extinction Program,Programa de Deextinção,,,,,
Food Waste Campaign,Campanha Contra o Desperdício Alimentar,Campanha Contra o Desperdício,,,The alternative is there in case the better one doesn't fit in-game,
Low-Methane Cattle Fodder,Forragem animal de baixo metano,,,,,
Abolish Zoos,Abolir Jardins Zoológicos,Abolir Zoos,,,,
Ecofeminist Curriculum,Currículo Ecofeminista,Currículo de Ecofeminismo,,,,
Expand Public Transit,Expandir Transportes Públicos,Expandir Transportação Pública,,,,
Environmentalist Curriculum,Currículo Ambientalista,Currículo de Ambientalismo,,,,
Artificial Moons,Luas Artificiais,,,,,
(Mostly) Full Automation,Automatização (Quase) Total,,,,,
Bioenergy Carbon Capture and Sequestration (BECCS),Bioenergia com Captura e Armazenamento de Carbono (BECCS),Bioenergia com Captura e Armazenamento de Carbono (BECAC),,,,
Wooden Skyscrapers,Arranha-céus de Madeira,,,,,
Nuclear Fusion,Fusão Nuclear,,,,,
Project Descriptions,0,,0,0,,Y
"Suspend parliament so that nothing gets in the way of your plans. This will give you some time and political capital carry out your agenda, but discontent will increase.","Suspende o parlamento para que nada interfira com os teus planos. Isto vai te dar algum tempo e capital político para aplicares a tua agenda, descontentamento aumentará",,,,,
Start a campaign to encourage energy conservation and low-energy lifestyles.,Começa uma campanha para encorajar conservação energética e estilos de vida de baixa energia,,,,,
Send radio waves into the dark void surrounding us. The hope is that we're not alone.,Emite ondas de rádio para o vácuo negro que nos rodeia. A esperança é que não estejamos sozinhos.,,,,,
"Ban fishing outside of exclusive economic zones (200 miles from the coast), effectively creating a huge nature preserve. However, most fish are near the coast so ecological benefits and economic impacts will be limited.","Proíbe a pesca fora de zonas económicas exclusivas (321km da costa), criando efetivamente uma enorme reserva natural. No entanto, a maioria dos peixes estão perto da costa, logo os benefícios ecológicos e os impactos económicos serão limitados.","Banir a pesca fora de zonas económicas exclusivas (321km da costa), criando uma enorme reserva natural. A maioria dos peixes estão perto da costa, logo os benefícios ecológicos e os impactos económicos serão limitados.",,,Coverted miles to Kilometers,
"Introduce an environmentalist curriculum to provide an ecological foundation to social thought. Students will read classic texts by Rachel Carson, Aldo Leopold, and Elizabeth Kolbert.","Introduz um currículo ambientalista para fornecer uma fundação ecológica ao pensamento social. Alunos lerão os clássicos de Rachel Carson, Aldo Leopold e Elizabeth Kolbert.","Introduz um currículo ambientalista para fornecer uma fundação ecológica ao pensamento social. Alunos lerão textos clássicos de Rachel Carson, Aldo Leopold e Elizabeth Kolbert.",,Yes.,Still in English in-game.,
"Soil and vegetation function as living roof insulation, moderating building temperatures year-round. Greenhouse gas emissions are lower.","Solos e vegetação servem como insuladores vivos para telhados, moderando a temperatura de edifícios pelo ano inteiro. Emissões de gás de efeito estufa diminuem",,,,,
"Perennial versions of the major cereal crops mean they don't need to be replanted each year, disturbing the soil less and sequestering more in deep roots.","Versões perenes das principais culturas cerealíferas que não têm de ser replantadas cada ano, perturbando menos o solo e capturando mais em raízes fundas.","Versões permanentes das principais culturas cerealíferas que não têm de ser replantadas cada ano, disturbando menos o solo e sequestrando mais em raízes fundas.",,,,
"Scale up concrete production from hemp, locking carbon in building materials.","Escalar a produção de betão feito com cânhamo, fixando carbono em materiais de construção.",,,,,
"Titan has an abundance of liquid hydrocarbons, more than even Earth. We could go get it...but why?","Titã é abundante em hidrocarbonetos liquidos, mais que a Terra até. Nos poderíamos ir lá busca-los...mas porquê?","Titã tem uma abundância em hidrocarbonetos liquidos, mais que a Terra até. Nos poderíamos ir lá busca-la...mas porquê?",,,,
Limit air travel to only long-haul trips that can't be accomplished by train.,Restringir tráfego aéreo a viagens de longa distância que não possam ser feitas de comboio,,,,,
"Use high-flying jets to release sulfur aerosols or other particles into the stratosphere, which will reduce incoming solar radiation and cool the planet. Think of it as an artificial and permanent volcanic eruption. The consequences, however, are not fully understood.","Libertar aerossóis de enxofre e outras partículas na estratosfera a partir de aviões a jato de alta altitude, isto reduzirá a radiação solar e arrefecerá o planeta. Pena nisto como uma erupção vulcânica artificial e permanente. As consequências, no entanto, não são completamente entendidas.",,,,,
"Achieve a goal set out in the Communist Manifesto: the 'gradual abolition of all the distinction between town and country by a more equable distribution of the populace over the country.' Bring culture into the countryside to combat the 'idiocy' of rural life. Bring farms and gardens into the city, so people can discover their green thumbs. ",Atinge o objetivo delimitado no Manifesto Comunista: a 'abolição gradual de toda a distinção entre cidade e campo por meio de uma distribuição mais equitativa da população pelo país'. Traz cultura para o campo de modo a combater a 'idiotia' da vida rural. Traz quintas e jardins para a cidade para que as pessoas descubram o seu dedo verde.,,,,,
Transfer ancestral lands back to their historical stewards. Indigenous-managed territories often has greater biodiversity than comparable ecosystems.,Devolve terras ancestrais aos seus guardiões históricos. Territórios geridos por indígenas costumam ter maior biodiversidade que ecossistemas comparáveis.,,,,,
Reduces need for fuel-intensive transport for the space industry.,Reduz a necessidades de transporte intensivo em combustível para a indústria espacial.,,,,,
"Give students an anti-speciesist education where they question human supremacy. After all, what makes us so different from animals? Students will read classics such as 'Beasts of Burden', 'Animal Liberation', and 'Zoopolis'. This educational program will improve your relations with the Animal Liberationist.","Introduz uma educação antiespecista, onde os alunos questionem a supremacia humana. Afinal de contas, o que nos torna tão diferentes dos outros animais? Os estudantes lerão clássicos como 'Beasts of Burden', 'Libertação Animal' e 'Zoopolis'. Este programa educacional melhorará as relações com os Libertacionistas pelos Animais.",,,,"Should the book titles be translated? // Only the ones that already have an official translation; the others could have a translation between brackets, maybe?",
"Create a new curriculum that won't teach critical thinking, but rather greed and mindless individualism. Just get a good job and try to keep up with the Joneses. Books by Steven Pinker and Thomas Friedman are often assigned; 'American Psycho' is taught unironically. This curriculum improves your relationship to the Consumerist.","Cria um novo currículo que não ensine pensamento critico, mas sim ganância e individualismo irracional. Basta arranjar um bom emprego e tentar acompanhar os vizinhos. Costumam ser atribuídos livros do Steven Pinker e do Thomas Friedman; o 'American Psycho' é ensinado sem ironia. Este currículo melhora a tua relação com o Consumista.",,,,,
This policy will reduce population by halting food aid to famished regions. Mortality will go up significantly.,Esta política reduzirá a população ao acabar com ajuda alimentar a regiões famintas. A mortalidade irá aumentar significativamente.,,,,,
"Mine resources to build infrastructure in space, harvesting fuel and beaming solar energy back to Earth.","Mina recursos no espaço para construir infraestruturas, recolhendo combustivel e enviando energia solar para a Terra.",,,,,
"Socialism is about providing not just bread and roses. Perhaps also BVLGARI and Ferraris for all. This policy will raise contentedness, but at a great environmental cost. ","O Socialismo é sobre fornecer mais do que pão e rosas. Talvez também BVLGARI e Ferraris para todos. Esta política aumentará a aprovação, mas com um grande custo ambiental.",,,,,
"Research and develop nuclear reactors that run on spent uranium and generates more fissile material than it consumes. Current designs suffer from many issues, such as relying on volatile liquid sodium coolant.","Investiga e desenvolve reatores nucleares que funcionam com urânio usado e geram mais material físsil do que consomem. Os projetos atuais têm muitos problemas, tais como dependerem de refrigerante líquido de sódio volátil.",,,,,
"This new curriculum will teach students to think critically about the supposed objectivity of science or the naturalness of patriarchy. Students will read classics such as the 'Cyborg Manifesto', the 'Sexual Politics of Meat', the 'Parable of the Sower'. This policy will improve your relationship with the Ecofeminist. ","Este novo currículo ensinará aos alunos a pensar criticamente sobre a suposta objetividade da ciencia e a naturalidade do patriarcado. Alunos lerão clássicos como 'O Manifesto Cyborgue', 'Politicas Sexuais da Carne', 'Parábola do Semeador'. Esta política melhorará a tua relação com as Ecofeministas.",,,,,
"Inject particles into clouds to reflect more sunlight, reducing global temperatures.","Injeta partículas em nuvens para refletir mais luz solar, reduzindo temperaturas globais.",,,,,
Install DAC units to take CO2 out of the atmosphere.,Instala unidades de CDA para retirar CO2 da atmosfera,,,,CDA=Captura Direta do Ar,
"Teach children and adolescents that they can move mountains, channel rivers, and reshape the Earth until it becomes a mere human artifact. Socialism should remove the fetters on the forces of production, accelerate scientific developments, and reach for the stars! Students will read Edward Bellamy, Aaron Bastani, and Mikhail Budyko.","Ensina às crianças e adolescentes que podem mover montanhas, canalizar rios, e remodelar a Terra até que esta se torne um mero artefato humano. O Socialismo deve remover os obstáculos às forças de produção, acelerar desenvolvimentos científicos e alcançar as estrelas! Os alunos irão ler Edward Bellamy, Aaron Bastani, e Mikhail Budyko.",,,,,
"Restore, remediate, and/or reforest any land that has been degraded or otherwise affected by human activity, including peatlands, coastal ecosystems, forests, and more.","Restaura, remedia, e/ou refloresta qualquer terreno que tenha sido degradado ou afetado pela actividade humana, incluindo turfeiras, ecossistemas costeiros, florestas e muito mais.",,,,,
"Research the use of viruses ('phages') to kill bacteria. See this as a global insurance policy against the eventual obsolescence of antibiotics due to antimicrobial resistance (AMR). Phages might not be as effective as antibiotics, but they are better than nothing. ","Investiga a utilização de vírus (""fagos"") para matar bactérias. Vê isto como um seguro global contra a eventual obsolescência de antibióticos devido à resistência antimicrobiana (RAM). Os fagos podem não ser tão eficazes como os antibióticos, mas são melhores do que nada. ","Investiga a utilização de vírus (""bacteriófago"") para matar bactérias. Vê isto como um seguro global contra a eventual obsolescência de antibióticos devido à resistência antimicrobiana (RAM). Os bacteriófagopodem não ser tão eficazes como os antibióticos, mas são melhores do que nada. ",,,Fago is short Bacteriófago,
"Make champagne an everyday luxury. After all, socialism is about roses as well as bread.","Faz do champanhe um luxo quotidiano. Afinal de contas, o Socialismo é tanto sobre as rosas como sobre o pão.",,,,,
"Cats kill 1.3-4 billion birds in US alone. Keeping cats indoors will help preserve avian and reptilian biodiversity, and protect the cats from cars and coyotes too.","Gatos matam 1.3-4 mil milhões de pássaros só nos EUA. Manter os gatos fora da rua ajudará a preservar biodiversidade aviária e reptiliana, e a proteger gatos de carros e coiotes também.",,,,,
"There is no official money in the post-revolutionary society, but libertarians still use crypto on the black market. Take thousands of these cryptographic-solving machines off the grid to save some electricity. ","Não há dinheiro oficial na sociedade pós-revolucionária, mas os libertários ainda usam criptomoedas no mercado negro. Retira milhares destas máquinas de resolução criptográfica da rede para poupar alguma electricidade.",,,,,
Pump water from the ocean onto Antarctica to reduce melting rates.,"Retira água do oceano para a Antártida, para reduzir o derretimento.",,,,,
Begin a campaign to address food waste across all parts of the food system.,Inicia uma campanha contra o desperdício alimentar em todas as partes do sistema alimentar.,,,,,
Increase amount of habitable land under protection to preserve biodiversity.,"Aumenta o número de território habitável sob proteção, de modo a preservar a biodiversidade.","Aumenta a quantidade de território habitável sob proteção, de modo a preservar a biodiversidade.",,,,
Scale up carbon-negative concrete production processes.,Escala a utilização de processos de produção de betão carbono negativo.,,,,,
Expand desalination capacity to supplement dwindling freshwater supplies in stressed regions.,Expande a capacidade de dessalinização para suplementar a diminuição dos recursos de água doce em regiões sob pressão.,,,,,
Illuminate cities using satellites that will reflect sunlight onto nighttime cities below. This project will marginally lower electrical demand and will adversely affect nocturnal animals.,Ilumina cidades usando satélites que refletirão luz solar para cidades noturnos em baixo. Este projeto reduzirá marginalmente a procura de eletricidade e afetará adversamente animais noturnos.,,,,,
Mandate installation of point-source carbon capture and sequestration (CSS) on all fossil-fuel using facilities to store CO2 underground.,"Instala tecnologias de captura e sequestração de carbono em fonte pontuais (CSS) em todas as instalações que utilizem combustíveis fósseis, armazenando CO2 no subsolo.",,,,,
"Implement guidelines for all new construction to use little energy thanks to improvements in insulation, clever design, and energy-production, and retrofit existing buildings to follow suit.","Implementa diretrizes para que novas construções usem pouca energia, graças a melhorias no isolamento, design eficiente, produção de energia, e reequipa os edifícios já existentes.",,,,,
"Introduce a new curriculum that argues population is the main driver of the environmental crisis. Children will be taught Malthusian classics such as 'An Essay on Population', 'The Tragedy of the Commons', and 'The Population Bomb'. This curriculum will endear you to the Malthusian but antagonize the Fanonist. ","Introduz um novo programa que afirma que a população é o principal motivo da crise ambiental. A juventude será ensinada clássicos Malthusianos como 'Ensaio sobre o Princípio da População', 'Tragédia dos Comuns', e 'A Bomba Populacional'. Este programa vai agradar ao Malthusiano mas antagonizar o Fanonista.",,,,,
"Cell-based meat or ""clean meat"" is in the news, but will it be as popular as meat?","Carne celular ou ""carne limpa"" está nas notícias, mas será tão popular como carne?","Carne de laboratório ou ""carne limpa"" está nas notícias, mas será tão popular como carne?",,,,
Develop new more drought-resistant varieties and encourage the adoption of existing drought-resistant crops.,Desenvolve novas variedades mais resistentes a secas e encoraja a adoção de plantações resistentes a secas.,,,,,
"Gradual replacement of hydrofluorocarbons (HFCs) with alternative refrigerants like ammonia, carbon dioxide, propane, and isobutane that have a significantly lower global warming potential.","Substituição gradual de hidrofluorocarbonetos (HFC) por refrigerantes alternativos como amoníaco, dióxido de carbono, propano, e isobutano, que têm um potencial de aquecimento global significativamente menor.",,,,,
"People will work longer and harder, but socialism will be built faster.","As pessoas vão trabalhar mais tempo e mais arduamente, mas o socialismo será construido mais rápido.",,,,,
Significantly expand the area of no-take marine reserves.,Expande significativamente as áreas de zonas marítimas de extração proibida.,,,,,
III-V Semiconductors solar panels and perovskite-based panels,Painéis solares de semicondutores III-V e painéis baseados em perovskita.,,,,,
The good life isn't about having more things. Degrowth reduces energy and material consumption in the Global North while funding social programs to provide material  support for everyone.,Viver bem não é ter mais coisas. O decrescimento reduz o consumo de energia e de materiais no Norte Global enquanto financia programas sociais para fornecer apoio material para todos.,,,,,
"New curriculum includes a vast literacy campaign to empower the working class and peasants of the global South. The works of Frantz Fanon, Paulo Freire, Audre Lorde will find a broad audience. This program will improve living conditions in the global South as well as your relationship with the Fanonist. ","Novo currículo que inclui uma vasta campanha de alfabetização para empoderar a classe trabalhadora e os camponeses do Sul global. As obras de Frantz Fanon, Paulo Freire, Audre Lorde encontrarão um vasto público. Este programa melhorará as condições de vida no Sul global, bem como a tua relação com os Fanonistas.","Novo currículo que inclui uma vasta campanha de alfabetização para empoderar a classe trabalhadora e os camponeses do Sul global. As obras de Frantz Fanon, Paulo Freire, Audre Lorde encontrarão um vasto público. Este programa melhorará as condições de vida no Sul global, bem como a tua relação com o Fanonista.",,,,
"Develop a video game where citizens can devise their own plans regulating the global economy and natural world. People can debate, compare plans, and become involved in a lively socialist democracy.","Desenvolve um videojogo onde os cidadãos podem criar os seus próprios planos, regulando a economia global e o mundo natural. As pessoas podem debater, comparar planos, e envolver-se numa democracia socialista animada.",,,,,
Rewild newly arid lands into vibrant ecosystems. Deserts can support a surprising variety of plants and animals if given a chance to recover. More plants might lower the albedo and heat up the atmosphere slightly.,"Fazer ""Rewilding"" em terras áridas para serem ecosistemas vibrantes. Desertos podem suportar uma surpreendente variedade de plantas e animais se lhes for dado a oportunidade de recuperar. Mais plantas podem baixar o albedo e aquecer ligeiramente a atmosfera.",,,,"""Rewilding"" é reintroduzir animais selvagens num ecosistema, não econtrei uma maneira de traduzir",
"An old fashioned, low-tech solution that could have massive carbon sequestration potential. Half of all waste is biodegradable, but instead of decomposing into a useful carbon-rich fertilizer, this waste produces methane emissions when it is dumped in the anaerobic landfills.","Uma solução antiquada e de baixa tecnologia que pode ter um enorme potencial de sequestro de carbono. Metade de todos os resíduos é biodegradável, mas em vez de se decomporem num fertilizante útil rico em carbono, estes resíduos emitem metano quando são despejados em aterros anaeróbicos.",,,,,
Expand recycling infrastructure to rural and undeveloped areas and implement research and development initiatives in electronics recycling and plasma gasification.,Expande as infra-estruturas de reciclagem para áreas rurais e subdesenvolvidas e implementa iniciativas de investigação e desenvolvimento em reciclagem electrónica e gaseificação de plasma.,,,,,
"Increasing production yields for farmers using robots to reduce human labor for tasks like spraying and weeding, crop harvesting, seeding and planting, soil analysis, and livestock feeding.","Aumenta os rendimentos de produção dos agricultores que utilizam robots para reduzir o trabalho humano em tarefas como a pulverização e a monda, colheita de culturas, sementeira e a plantação, análise do solo e alimentação do gado.",,,,,
Develop improved and scalable algae biofuel production processes.,Desenvolve processos de produção de biocombustíveis de algas melhores e mais escaláveis.,,,,modified from pt-br,
"Conduct research into nuclear fusion. Odds of success are low and fusion still has many of the drawback of fission (radioactive waste, water-use for coolant, reliant on rare resources), though improved. Still, a possible source of low-carbon plentiful energy.","Realiza investigações sobre fusão nuclear. As chances de sucesso são baixas e a fusão ainda tem muitas das desvantagens da fissão (resíduos radioativos, uso de água para arrefecimento, dependência de recursos raros), embora com melhoramentos. Ainda assim, uma possível fonte de energia abundante menor emissão de carbono.",,,,modified from pt-br,
"Install co-generation systems in eligible structures and power facilities to generate electricity and heat at the same time, making use of otherwise wasted heat.","Instala sistemas de cogeração em estruturas elegíveis e instalações elétricas para gerar eletricidade e calor ao mesmo tempo, aproveitando o calor que seria desperdiçado.",,,,modified from pt-br,
"Biodiversity has been plummeting, and people fear that most of earth's species will be lost forever. This project is an effort to collect and store DNA samples of Earth's remaining biodiversity in case the worst should come to pass.","A biodiversidade está a cair a pique e as pessoas temem que a maioria das espécies da Terra se percam para sempre. Este projeto é um esforço para colecionar e armazenar amostras de ADN da biodiversidade restante na Terra, caso o pior aconteça.",,,,modified from pt-br,
