English,機械翻訳/machine translation,こんな翻訳もありかも？,Translation,要確認：Yを入力,コメント / comments,Section,,他の翻訳案 / alternative suggestions
Remove Fetters on the Forces of Production!,生産力の足枷を外せ!,,生産力の足枷を外せ!,,,,,
Degrowth in Developed Regions,先進地域の脱成長,,先進諸国の脱成長,,,,,
Militarized Conservation,軍事化された自然保護,,自然保護への軍事介入,,,,,
Desalination Plants,海水淡水化プラント,,海水淡水化プラント,,,,,解説欲しい、、
Sewage Treatment Plants,下水処理場,,下水処理場,,,,,
Unconventional Petroleum Industry,非在来型石油産業,,非在来型石油産業,,,,,
Soil Fertility AI,土壌肥沃度AI,,土壌肥沃度のAI解析,,,,,
Alternative Refrigerants,代替冷媒,,代替冷媒,,,,,
Biofabrication,バイオファブリケーション,,バイオファブリケーション,,,,,解説欲しい、、
Orbital Space Settlements,軌道上宇宙居住,,軌道上の宇宙居住地,,,,,
Esperanto,エスペラント,,エスペラント語,,,,,解説欲しい、、
Remediate and Protect Ecosystems,生態系の修復と保護,,生態系の修復と保護,,,,,
Asteroid Mining,小惑星の採掘,,小惑星探索,,,,,
Regenerative Agriculture,再生農業,,環境再生型農業,,,,,
Stakhanovite Shock Workers,スタハノバイト・ショックワークス,,スタハノフ運動,,,,,解説欲しい、、
Co-Generation,コージェネレーション,,コジェネレーション(熱電供給システム),,,,,
Coastal Wetland Protection and Restoration,沿岸湿地の保護と修復,,沿岸湿地の保護と再生,,,,,
Energy Quotas,エネルギー割当,,エネルギーの使用割当,,,,,
Hempcrete,ヘンプクリート,,ヘンプクリート（軽量セメント）,,,,,
Keep Global South Poor,グローバル・サウスを貧しくする,,南の発展途上国を見捨てる,,,,,
Green Roofs,グリーンルーフ,,屋上緑化,,,,,
Long-Range Electric Aviation,長距離電気航法,,長距離航空の電化,,,,,
Ban Outdoor Cats,猫の屋外飼育の禁止,,ネコの屋外飼育禁止令,,,,,
Expand Nature Preserves,自然保護区を拡大する,,自然保護区の拡大,,,,,
Eliminate Natural Predation,自然捕食の排除,,自然界の捕食を排除する,,,,,
Drought-Resistant Crops,乾燥に強い作物,,耐乾性作物,,,,,
Pedestrian and Bike-Friendly Cities,歩行者と自転車に優しい都市,,歩行者と自転車にやさしいまちづくり,,,,,
Biosphere 3,バイオスフィア3,,バイオスフィア3,,cf.バイオスフィア2@アメリカアリゾナ州,,,解説欲しい、、
Ban Cars,自動車を禁止する,,自動車禁止令,,,,,
Search for Extraterrestrial Life,地球外生命体の探索,,地球外生命体の探索,,,,,
Rien Faire Comme une Bête,生きていくために必要なこと,,“野獣のように何もしない”,,フランス語？「野獣のように何もしない」,,,
Deep Sea Mining,深海鉱業,,深海採掘,,,,,
De-Extinction Program,デエクステンション・プログラム,,絶滅動物の復活,,,,,
Food Waste Campaign,食品廃棄物キャンペーン,,食品ロスNO運動,,,,,
Low-Methane Cattle Fodder,低メタン牛の飼料,,低メタン牛を育てる飼料の使用,,,,,
Abolish Zoos,動物園の廃止,,動物園の廃止,,,,,
Ecofeminist Curriculum,エコフェミニスト・カリキュラム,,エコフェミニストの教育,,,,,エコフェミニストの拡大、解説欲しい、、
Expand Public Transit,公共交通機関の拡充,,公共交通機関の拡充,,,,,
Environmentalist Curriculum,環境配慮型カリキュラム,,環境保護主義者の教育,,,,,環境保護主義者の拡大
Artificial Moons,人工衛星,,人工衛星,,,,,
(Mostly) Full Automation,(ほぼ)全自動,,オートメーション化,,,,,完全自動化
Bioenergy Carbon Capture and Sequestration (BECCS),バイオエネルギー炭素回収・貯留（BECCS）,,CO2回収・貯留機能付きバイオマス燃料（BECCS）,,,,,
Wooden Skyscrapers,木造超高層ビル,,木造超高層ビル,,,,,
Nuclear Fusion,核融合,,核融合エネルギー,,,,,
Project Descriptions,0,,100%,0,完了,Y,,
"Suspend parliament so that nothing gets in the way of your plans. This will give you some time and political capital carry out your agenda, but discontent will increase.",あなたの計画を邪魔するものがないように、国会を一時停止してください。これにより、あなたの計画を実行するための時間と政治資金を得ることができますが、不満は増大するでしょう。,,あなたの計画の邪魔にならないよう、議会を一次停止する。これによりあなたは計画を実行するための時間と政治資金に猶予を得ることができるが、不満は増大するだろう。,,,,,計画実行にかかる時間と政治資金の猶予を得るために、あなたは議会を一時停止することができる。その代わり不満は増大するだろう。
Start a campaign to encourage energy conservation and low-energy lifestyles.,省エネ・低エネルギーライフを推奨するキャンペーンを開始する。,,省エネで低エネルギーな生活を促すキャンペーンを開始する。,,,,,
Send radio waves into the dark void surrounding us. The hope is that we're not alone.,私たちを取り巻く暗い空白に電波を送り込む。希望は、私たちは一人ではないということです。,,私たちを取り巻く暗闇に電波を送信する。私たちは孤独ではないという希望の下に。,,,,,？？
"Ban fishing outside of exclusive economic zones (200 miles from the coast), effectively creating a huge nature preserve. However, most fish are near the coast so ecological benefits and economic impacts will be limited.",排他的経済水域（海岸から200マイル）外での漁業を禁止し、事実上、巨大な自然保護区を作る。しかし、ほとんどの魚は海岸近くにいるので、生態学的な利益と経済的な影響は限定的である。,,排他的経済水域 (海岸から200マイル) 以外での漁業を禁止し、事実上巨大な自然保護区を創設する。しかし、ほとんどの魚は海岸近くにいるため、生態学的利益や経済的影響は限られている。,,,,,排他的経済水域 (海岸から200マイル) 以外の漁業を禁止し、巨大な自然保護区を創設する。しかし、ほとんどの魚は海岸近くにいるため、生態学的利益や経済的影響は限られている。（プラス？マイナス？）
"Introduce an environmentalist curriculum to provide an ecological foundation to social thought. Students will read classic texts by Rachel Carson, Aldo Leopold, and Elizabeth Kolbert.",社会思想にエコロジーの基礎を与えるために、環境保護主義者のカリキュラムを導入する。レイチェル・カーソン、アルド・レオポルド、エリザベス・コルバートの古典的なテキストを読みます。,,社会思想に生態学的基礎知識を根付かせるために、環境保護主義者の教育過程を導入する。レイチェル・カーソン、アルド・レオポルド、エリザベス・コルバートの古典を読む。,,,,,
"Soil and vegetation function as living roof insulation, moderating building temperatures year-round. Greenhouse gas emissions are lower.",土壌と植物は生きた屋根の断熱材として機能し、年間を通して建物の温度を緩和します。温室効果ガス排出量も少なくなります。,,土壌と植物は生きた屋根の断熱材として機能し、年間を通じて建物内の温度の変化を緩和する。温室効果ガスの排出量も減少する。,,,,,
"Perennial versions of the major cereal crops mean they don't need to be replanted each year, disturbing the soil less and sequestering more in deep roots.",主要な穀物の多年生栽培は、毎年植え替える必要がないため、土壌の攪乱が少なく、根が深く張っているため、より多く吸収することができます。,,主要な穀物について、多年生の品種を栽培することで、毎年植え替える必要がなくなり、根がより深く張ることで、土壌の撹乱が少なくなる。,,,,,
"Scale up concrete production from hemp, locking carbon in building materials.",麻からコンクリートを製造し、建材に炭素を固定することを拡大する。,,麻からコンクリートを生産することで、建築材料に炭素を固定する。,,,,,
"Titan has an abundance of liquid hydrocarbons, more than even Earth. We could go get it...but why?",タイタンには、地球よりも豊富な液体の炭化水素があります。それを取りに行けばいいのだが...なぜだろう？,,タイタンには、地球よりも豊富な液体の炭化水素が存在している。私たちはそれを取りに行けば良いんですよ…行かない理由なんてあります？,,,,,
Limit air travel to only long-haul trips that can't be accomplished by train.,飛行機での移動は、電車で移動できない長距離の移動のみに限定する。,,航空機での移動は、列車では不可能な長距離移動時のみに限定する。,,,,,
"Use high-flying jets to release sulfur aerosols or other particles into the stratosphere, which will reduce incoming solar radiation and cool the planet. Think of it as an artificial and permanent volcanic eruption. The consequences, however, are not fully understood.",高空を飛ぶジェット機を使って、成層圏に硫黄のエアロゾルやその他の粒子を放出し、入ってくる太陽放射を減らして地球を冷やすのです。人工的かつ恒久的な火山噴火と考えればよい。しかし、その結果は完全には解明されていない。,,高高度を飛行するジェット機を使用し、成層圏の大気中に硫酸エアロゾルなどの粒子を放出し、地表に届く太陽光を減らして地球の気温を下げる。人工的で且つ恒久的な火山噴火のようなものである。しかし、この施策の結果なにが起こるかは完全には解明されていない。,,,,,ジェット機で成層圏の大気中に硫酸エアロゾルなどの粒子を放出し、地表に届く太陽光を減らして地球の気温を下げる。人工的で恒久的な火山噴火のようなものである。しかし、この施策の結果なにが起こるかは完全には解明されていない。
"Achieve a goal set out in the Communist Manifesto: the 'gradual abolition of all the distinction between town and country by a more equable distribution of the populace over the country.' Bring culture into the countryside to combat the 'idiocy' of rural life. Bring farms and gardens into the city, so people can discover their green thumbs. ",共産党宣言に掲げられた目標、すなわち「町と田舎の間のあらゆる区別を徐々に廃止し、民衆をより均等に田舎に配すること」を達成すること。農村生活の「馬鹿馬鹿しさ」に対抗するために、田舎に文化を持ち込む。農園や庭を都市に持ち込んで、人々が緑の指を発見できるようにする。,,共産党宣言に掲げられた目標、すなわち「国全体における人口のより平等な分配により、都会と田舎の間のすべての区別を段階的に廃止すること」を達成する。 「時代遅れ」な農村生活に、都会の文化を持ち込もう。 都会に農場や庭園を作れば、人々が園芸に目覚めるだろう。,,,,,
Transfer ancestral lands back to their historical stewards. Indigenous-managed territories often has greater biodiversity than comparable ecosystems.,先祖代々の土地を歴史的な管理者に返還する。先住民が管理する地域は、同程度の生態系よりも生物多様性が高いことが多い。,,先祖代々住み続けてきた民族に土地を返還する。先住民が管理する地域は、同じような生態系より、生物多様性の度合いが高いことが多い。,,,,,
Reduces need for fuel-intensive transport for the space industry.,宇宙産業において、燃料を大量に消費する輸送手段を削減することができます。,,宇宙産業において、燃料を大量に消費する輸送手段を代替することができる。,,,,,
"Give students an anti-speciesist education where they question human supremacy. After all, what makes us so different from animals? Students will read classics such as 'Beasts of Burden', 'Animal Liberation', and 'Zoopolis'. This educational program will improve your relations with the Animal Liberationist.",反種族主義的な教育を行い、人間至上主義に疑問を持たせる。結局のところ、私たちは動物と何がそんなに違うのでしょうか？生徒たちは、「重荷の獣」、「動物解放」、「ズーポリス」などの古典を読みます。この教育プログラムは、動物解放論者との関係を改善するものです。,,人間至上主義に疑問を持つように、非人間中心主義的教育を生徒に行う。結局のところ、私たちと動物は何がそんなに違うのだろうか？「Beasts of Burden」、「動物の解放」、「人と動物の政治共同体」 などの古典を読む。この教育政策は、動物解放主義者との関係を改善する。,,,,,
"Create a new curriculum that won't teach critical thinking, but rather greed and mindless individualism. Just get a good job and try to keep up with the Joneses. Books by Steven Pinker and Thomas Friedman are often assigned; 'American Psycho' is taught unironically. This curriculum improves your relationship to the Consumerist.",批判的思考を教えるのではなく、強欲と無頓着な個人主義を教える新しいカリキュラムを作ろう。ただ良い仕事に就き、ジョーンズに追いつくよう努力せよ。Steven PinkerやThomas Friedmanの本がよく指定される。「American Psycho」は皮肉なく教えられる。このカリキュラムは、「消費者主義者」との関係を改善するものです。,,批判的思考ではなく、貪欲で愚かな個人主義を植え付ける新しい教育課程を導入する。いい仕事に就き、世間に遅れをとらないようにしなさい。スティーブン・ピンカーやトーマス・フリードマンの本を読む。『アメリカン・サイコ』は、皮肉ではなく素直に受け止められる。この教育課程は「消費者の代表」との関係を改善する。,,,,,批判的思考ではなく、貪欲で愚かな個人主義を植え付ける新しい教育課程を導入する。いい仕事に就き、世間に遅れをとらないようにしなさい。スティーブン・ピンカーやトーマス・フリードマンの本を読む。『アメリカン・サイコ』は、皮肉ではなく素直に受け止められる。この教育課程は「消費者の代表」との関係を良くする。
This policy will reduce population by halting food aid to famished regions. Mortality will go up significantly.,この政策により、飢餓地域への食糧援助が停止され、人口が減少する。死亡率は大幅に上昇する。,,この政策では、飢餓に苦しむ地域への食糧援助を停止することで人口を減少させる。死亡率は大幅に上昇する。,,,,,
"Mine resources to build infrastructure in space, harvesting fuel and beaming solar energy back to Earth.",資源を採掘して宇宙でインフラを構築し、燃料を採取して太陽エネルギーを地球に送り返す。,,インフラを構築するための資源を宇宙で採掘し、採取した燃料と太陽エネルギーを地球へ送る。,,,,,
"Socialism is about providing not just bread and roses. Perhaps also BVLGARI and Ferraris for all. This policy will raise contentedness, but at a great environmental cost. ",社会主義とは、パンとバラだけでなく、ブルガリやフェラーリも提供することです。おそらく、ブルガリやフェラーリも全員に提供する。この政策は、満足度を高めるが、大きな環境コストを伴う。,,社会主義がもたらすのは、パンとバラだけではない。おそらくブルガリやフェラーリをも提供するものだ。この政策は満足度を高めるが、環境コストも跳ね上がる。,,,,,社会主義がもたらすのは、パン（最低限の生活）とバラ（豊かに生きるためのの尊厳）だけではない。おそらくブルガリやフェラーリなどの高級品をも提供するものだ。この政策は満足度を高めるが、環境コストも跳ね上がる。
"Research and develop nuclear reactors that run on spent uranium and generates more fissile material than it consumes. Current designs suffer from many issues, such as relying on volatile liquid sodium coolant.",使用済みウランを燃料とし、消費した量以上の核分裂性物質を生成する原子炉を研究開発する。現在の設計では、揮発性の液体ナトリウム冷却材に頼るなど、多くの問題を抱えている。,,使用済みウランによって稼働し、消費した量以上の核分裂性物質を生成する原子炉を研究開発する。現在の設計では、揮発性液体ナトリウム冷却剤に依存するなど、多くの問題を抱えている。,,,,,
"This new curriculum will teach students to think critically about the supposed objectivity of science or the naturalness of patriarchy. Students will read classics such as the 'Cyborg Manifesto', the 'Sexual Politics of Meat', the 'Parable of the Sower'. This policy will improve your relationship with the Ecofeminist. ",この新しいカリキュラムは、科学の客観性や家父長制の自然性などについて批判的に考えるよう、生徒に教えるものです。学生は「サイボーグ宣言」、「肉の性政治学」、「種をまく人のたとえ」などの古典を読むことになります。この方針は、エコフェミニストとの関係を良くするものです。,,この新しい教育課程では、科学の客観性や、家父長制は自然なことという考えに対して批判的に考えるよう教えるものである。「サイボーグ宣言」、「肉食という性の政治学」、「Parable of the Sower（未邦訳）」などの古典を読む。この教育課程は「エコフェミニスト」との関係を改善する。,,,,,
"Inject particles into clouds to reflect more sunlight, reducing global temperatures.",雲に粒子を注入して太陽光をより多く反射させ、地球の気温を下げる。,,雲に細かい水滴を吹き上げることで、太陽光を反射させ地球の温度を下げる。,,,,,
Install DAC units to take CO2 out of the atmosphere.,DACユニットを設置し、大気からCO2を取り出す。,,DAC（DAC：Direct Air Capture）装置を設置して、大気からCO2を回収する。,,,,,
"Teach children and adolescents that they can move mountains, channel rivers, and reshape the Earth until it becomes a mere human artifact. Socialism should remove the fetters on the forces of production, accelerate scientific developments, and reach for the stars! Students will read Edward Bellamy, Aaron Bastani, and Mikhail Budyko.",子供たちや青年たちに、自分たちは山を動かし、川を流し、地球が単なる人間の人工物になるまで形を変えることができると教えてください。社会主義は、生産力の束縛を取り除き、科学の発展を加速させ、星に手を伸ばすべきです生徒は、エドワード・ベラミー、アーロン・バスターニ、ミハイル・ブディコを読みます。,,子供や若い人に、山を動かしたり、川を流したり、地球が単なる人工物の塊になるまで形を変えられると教育する。社会主義は生産力の足かせを取り除き、科学の発展を加速させ、星に手を伸ばすべきだ！学生は、エドワード・ベラミー、アーロン・バスターニ、ミハイル・イ・ブディコを読むだろう。,,,,,
"Restore, remediate, and/or reforest any land that has been degraded or otherwise affected by human activity, including peatlands, coastal ecosystems, forests, and more.",泥炭地、沿岸生態系、森林など、人間の活動によって劣化した土地やその他の影響を受けた土地の復元、修復、および/または再植林を行う。,,泥炭地、沿岸生態系、森林など、人間の活動によって劣化した土地やその他の影響を受けた土地を復元、修復し、再植林を行う。,,,,,
"Research the use of viruses ('phages') to kill bacteria. See this as a global insurance policy against the eventual obsolescence of antibiotics due to antimicrobial resistance (AMR). Phages might not be as effective as antibiotics, but they are better than nothing. ",バクテリアを殺すためにウイルス（ファージ）を利用する研究。これは、抗菌剤耐性（AMR）による抗生物質の陳腐化に備えた世界的な保険政策だと考えています。ファージは抗生物質ほど効かないかもしれませんが、ないよりはましです。,,細菌を殺すためのウイルス「バクテリオファージ」を活用する研究。これは薬剤耐性による抗生物質の無力化に対する、世界的な保険的手段として考えられている。ファージによる治療は、抗生物質ほど効果的とは言えないが少しは効果がある。,,,,,
"Make champagne an everyday luxury. After all, socialism is about roses as well as bread.",シャンパンを日常の贅沢品にしよう。結局のところ、社会主義とはパンだけでなくバラのことなのです。,,シャンパンを日々の彩りにしよう。結局のところ、社会主義にはパンだけでなくバラも重要なのだ。,,"https://ja.wikipedia.org/wiki/シャンパン社会主義者
 シャンパン社会主義者とは意味がかけ離れているが、別物と考えた方が良いのか？？",,,シャンパンを毎日の贅沢にしよう。結局、社会主義にはパン（最低限の生活）だけでなくバラ（豊かに生きるためのの尊厳）も重要なのだ。
"Cats kill 1.3-4 billion birds in US alone. Keeping cats indoors will help preserve avian and reptilian biodiversity, and protect the cats from cars and coyotes too.",猫による鳥類の殺処分は、アメリカだけでも13〜40億羽にのぼります。猫を室内で飼うことは、鳥類や爬虫類の生物多様性の保全につながり、車やコヨーテからも猫を守ることができます。,,アメリカだけでも、ネコは13億から40億羽の鳥を殺している。猫を室内で飼育することは、猫から鳥類や爬虫類を守ることにつながり、同時に猫を車やコヨーテから守ることにもなる。,,,,,
"There is no official money in the post-revolutionary society, but libertarians still use crypto on the black market. Take thousands of these cryptographic-solving machines off the grid to save some electricity. ",革命後の社会には公的な貨幣は存在しないが、自由主義者は闇市で暗号を使用している。この暗号解読機を何千台も持ち出して、電気を節約してください。,,革命後の社会には公的資金は存在しないが、自由主義者は依然として闇市場で仮想通貨を使用している。電力を節約するために、何千台もの暗号解読マシンを送電網から追放する。,,,,,
Pump water from the ocean onto Antarctica to reduce melting rates.,海から南極大陸に水を送り込み、融解速度を低下させる。,,海から南極大陸に水を汲み上げて、融解速度を低下させる。,,,,,
