English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
Universal Family Planning,Planificación familiar universal,,,,,
Factory Farming Reform,Reforma de la agricultura industrial,,,,,
Carbon-Negative Concrete,Cemento de carbono negativo,,,,,
Electric-Arc Furnaces,Hornos de arco eléctrico,,,,,
Mass Electrification,Electrificación masiva,,,,,
Ban Non-Indigenous Hunting,Prohibir la caza no indígena,,,,,
Vegan Mandate,Directiva vegana,,,,,
De-Extinction Research,Investigación de la desextinción,,,,,
Open-Ocean Fish Farms,Granjas de peces en mar abierto,,,,,
Energy Conservation Campaign,Campañas de conservación de energía,,,,,
Floating Wind Turbines,Aerogeneradores flotantes,,,,,
Indigenous Sovereignty,Soberanía indígena,,,,,
Green Hydrogen,Hidrógeno verde,,,,,
Ocean Iron Fertilization,Fertilización con hierro del océano,,,,,
Mission to Titan,Misión a Titán,,,,,
Phage Therapy,Fagoterapia,,,,,
Space Colony,Colonia espacial,,,,,
Reconcile Town and Country,Reconciliar ciudad y campo,,,,,
Accelerationist Curriculum,Plan de estudios aceleracionistas,,,,,
Masculinity De-Tox,Desintoxicación masculina,,,,,
Battery Storage Network,Red de almacenamiento de batería,,,,,
Electrify Road Vehicles,Electrificación de vehículos de carretera,,,,,
Champagne Socialism,Izquierda caviar,,,,,
The Ark,El Arca,,,,,
Global Demilitarization,Desmilitarización Global,,,,,
Compost,Compost,,,,,
Solar Radiation Management (SRM),Geoingeniería solar,,,,,
Psyop,Psyop,,,Y,????,
Suspend Parliament,Suspender el Parlamento,,,,,
Space Elevator,Ascensor espacial,,,,,
'Green' Container Ships,"Portacontenedores ""verdes""",,,,,
Perennial Cereals,Cereales perennes,,,,,
Carbon Capture and Sequestration,Captura y secuestro de carbono,,,,,
Mine Moon for Tritium,Minería lunar para extraer tritio,,,,,
Ban Exotic Animal Trade,Prohibir el comercio de animales exóticos,,,,,
Restrict Air Travel,Restringir viajes aéreos,,,,,
Fanonist Curriculum,Plan de estudios fanonista,,,Y,Anticolonial?,
Cloud Seeding,Siembra de nubes,,,,,
"Gadgets, Fast Fashion, and Endless TV","Tecnología, moda rápida y televisión sin fin",,,,,
Direct Air Capture,Captura directa de aire,,,,,
Continental Smart Grid,Red inteligente continental,,,,,
Passive Building Mandate & Retrofit,Directivas de construcción pasiva y rehabilitación,,,,,
Reintroduce Apex Predators,Reintroducir los superdepredadores,,,,,
Antarctic Pumping,Bombeo antártico,,,,,
Stop Food Aid,Detener la ayuda alimentaria,,,,,
Close Borders,Cerrar fronteras,,,,,
Underwater Biosphere,Biosfera submarina,,,,,
Ban High-Seas Fishing,Prohibir la pesca en alta mar,,,,,
Abolish Prisons,Abolir las prisiones,,,,,
One-Child Policy,Política de un hijo único,,,Y,gender,
Cloud Brightening,Dar brillo a las nubes,,,,,
Next-Gen Solar PV,Fotovoltaica solar de última generación,,,,,
Remove Fetters on the Forces of Production!,¡Quiten los grilletes a las fuerzas de producción!,,Y,Y,Pensar bien,
Degrowth in Developed Regions,Decrecimiento en regiones desarrolladas,,,,,
Militarized Conservation,Conservación militarizada,,,,,
Desalination Plants,Plantas de desalinización,,,,,
Sewage Treatment Plants,Plantas de tratamiento de aguas residuales,,,,,
Unconventional Petroleum Industry,Industria del petróleo no convencional,,,,,
Soil Fertility AI,IA de la fertilidad del suelo,,,,,
Alternative Refrigerants,Refrigerantes alternativos,,,,,
Biofabrication,Biofabricación,,,,,
Orbital Space Settlements,Asentamientos espaciales orbitales,,,,,
Esperanto,Esperanto,,,,,
Remediate and Protect Ecosystems,Remediar y proteger los ecosistemas,,,,,
Asteroid Mining,Minería de asteroides,,,,,
Regenerative Agriculture,Agricultura regenerativa,,,,,
Stakhanovite Shock Workers,Estajanovismo,,,Y,gender,
Co-Generation,Cogeneración,,,,,
Coastal Wetland Protection and Restoration,Protección y restauración de humedales costeros,,,,,
Energy Quotas,Cuotas eléctricas,,,,,
Hempcrete,Hormigón de cáñamo,,,,,
Keep Global South Poor,Mantener pobre al sur global,,,,,
Green Roofs,Techos verdes,,,,,
Long-Range Electric Aviation,Aviación eléctrica de largo alcance,,,,,
Ban Outdoor Cats,Prohibir los gatos al aire libre,,,,,
Expand Nature Preserves,Ampliar las reservas naturales,,,,,
Eliminate Natural Predation,Eliminar la depredación natural,,,,,
Drought-Resistant Crops,Cultivos resistentes a la sequía,,,,,
Pedestrian and Bike-Friendly Cities,Ciudades peatonales y prociclistas,,,,,
Biosphere 3,Biosfera 3,,,,,
Ban Cars,Prohibir los coches,,,,,
Search for Extraterrestrial Life,Búsqueda de vida extraterrestre,,,,,
Rien Faire Comme une Bête,Rien faire comme une bête,,,,,
Deep Sea Mining,Minería en aguas profundas,,,,,
De-Extinction Program,Programa de desextinción,,,,,
Food Waste Campaign,Campañas sobre el desperdicio de alimentos,,,,,
Low-Methane Cattle Fodder,Forraje para ganado bajo en metano,,,,,
Abolish Zoos,Abolir los zoológicos,,,,,
Ecofeminist Curriculum,Plan de estudios ecofeministas,,,,,
Expand Public Transit,Expandir el transporte público,,,,,
Environmentalist Curriculum,Plan de estudios ecologista,,,,,
Artificial Moons,Lunas artificiales,,,,,
(Mostly) Full Automation,(Casi) la automatización completa,,,,,
Bioenergy Carbon Capture and Sequestration (BECCS),Bioenergía con captura y almacenamiento de carbono (BECCS),,,,,
Wooden Skyscrapers,Rascacielos de madera,,,,,
Nuclear Fusion,Fusión nuclear,,,,,
Project Descriptions,0,,0,0,,Y
"Suspend parliament so that nothing gets in the way of your plans. This will give you some time and political capital carry out your agenda, but discontent will increase.","Suspender el parlamento para que nada se interponga en el camino de tus planes. Esto te dará algo de tiempo y capital político para llevar a cabo tu agenda, pero el descontento aumentará.",,,,,
Start a campaign to encourage energy conservation and low-energy lifestyles.,Comienza una campaña para fomentar la conservación de energía y los estilos de vida de bajo consumo de energía.,,,,,
Send radio waves into the dark void surrounding us. The hope is that we're not alone.,"
Envía ondas de radio al vacío oscuro que nos rodea. La esperanza es que no estamos solos.",,,,,
"Ban fishing outside of exclusive economic zones (200 miles from the coast), effectively creating a huge nature preserve. However, most fish are near the coast so ecological benefits and economic impacts will be limited.","Prohibe la pesca fuera de las zonas económicas exclusivas (321 km de la costa), creando efectivamente una enorme reserva natural. Sin embargo, la mayoría de los peces se encuentran cerca de la costa, por lo que los beneficios ecológicos y los impactos económicos serán limitados.",,,,,
"Introduce an environmentalist curriculum to provide an ecological foundation to social thought. Students will read classic texts by Rachel Carson, Aldo Leopold, and Elizabeth Kolbert.","Introducir un plan de estudios ecologista para proporcionar una base de las ciencias ambientales al pensamiento social. Los estudiantes leerán textos clásicos de Rachel Carson, Aldo Leopold y Elizabeth Kolbert.",,,,We want to introduce Spanish autors?,
"Soil and vegetation function as living roof insulation, moderating building temperatures year-round. Greenhouse gas emissions are lower.","El suelo y la vegetación funcionan como un aislamiento de techo vivo, moderando las temperaturas del edificio durante todo el año. Las emisiones de gases de efecto invernadero son menores.",,,,,
"Perennial versions of the major cereal crops mean they don't need to be replanted each year, disturbing the soil less and sequestering more in deep roots.","Versiones perennes de los principales cultivos de cereales significan que no necesitan ser replantados cada año, alterando menos el suelo y secuestrando más en las raíces profundas.",,,,,
"Scale up concrete production from hemp, locking carbon in building materials.","Aumentar la producción de hormigón a partir del cáñamo, secuestrando carbono en los materiales de construcción.",,,,,
"Titan has an abundance of liquid hydrocarbons, more than even Earth. We could go get it...but why?","Titán tiene una abundancia de hidrocarburos líquidos, incluso más que la Tierra. Podríamos ir a buscarlo... pero ¿por qué?",,,,,
Limit air travel to only long-haul trips that can't be accomplished by train.,Limita los viajes aéreos a trayectos solo de larga distancia que no se puedan realizar en tren.,,,,,
"Use high-flying jets to release sulfur aerosols or other particles into the stratosphere, which will reduce incoming solar radiation and cool the planet. Think of it as an artificial and permanent volcanic eruption. The consequences, however, are not fully understood.","Usar aviones de reacción de alto vuelo para liberar aerosoles de azufre u otras partículas en la estratosfera, lo que reducirá la radiación solar entrante y enfriará el planeta. Piensa en ello como una erupción volcánica artificial y permanente. Las consecuencias, sin embargo, no se entienden completamente.",,,,,
"Achieve a goal set out in the Communist Manifesto: the 'gradual abolition of all the distinction between town and country by a more equable distribution of the populace over the country.' Bring culture into the countryside to combat the 'idiocy' of rural life. Bring farms and gardens into the city, so people can discover their green thumbs. ","Logra un objetivo establecido en el Manifiesto Comunista: la ""abolición gradual de toda distinción entre la ciudad y el campo mediante una distribución más equitativa de la población en el campo"". Lleva la cultura al campo para combatir la ""idiotez"" de la vida rural. Trae granjas y jardines a la ciudad, para que la gente pueda descubrir sus manos de jardinero.",,,,,
Transfer ancestral lands back to their historical stewards. Indigenous-managed territories often has greater biodiversity than comparable ecosystems.,Transferir las tierras ancestrales de vueslta a sus administradores históricos. Los territorios manejados por los indígenas a menudo tienen una mayor biodiversidad que otros ecosistemas comparables.,,,,,
Reduces need for fuel-intensive transport for the space industry.,Reduce la necesidad de transporte que tiene un uso intensivo de combustible para la industria espacial.,,,,,
"Give students an anti-speciesist education where they question human supremacy. After all, what makes us so different from animals? Students will read classics such as 'Beasts of Burden', 'Animal Liberation', and 'Zoopolis'. This educational program will improve your relations with the Animal Liberationist.","Brinda a los estudiantes una educación antiespecista donde cuestionen la supremacía humana. Después de todo, ¿qué nos hace tan diferentes de los animales? Los estudiantes leerán clásicos como 'Beasts of Burden', ""Liberación animal"" y 'Zoópolis'. Este programa educativo mejorará tus relaciones con los antiespecistas.",,,,,
"Create a new curriculum that won't teach critical thinking, but rather greed and mindless individualism. Just get a good job and try to keep up with the Joneses. Books by Steven Pinker and Thomas Friedman are often assigned; 'American Psycho' is taught unironically. This curriculum improves your relationship to the Consumerist.","Crea un nuevo plan de estudios que no enseñe pensamiento crítico, sino avaricia e individualismo sin sentido. Consíguete un buen trabajo y trata de estar a la altura de tus vecinos. Se asignarían frequentemente libros de Steven Pinker y Thomas Friedman; ""American Psycho"" se enseñaría de manera no irónica. Este plan de estudios mejora tu relación con los consumistas.",,,,,
This policy will reduce population by halting food aid to famished regions. Mortality will go up significantly.,Esta política reducirá la población al detener la ayuda alimentaria a las regiones hambrientas. La mortalidad aumentará significativamente.,,,,,
"Mine resources to build infrastructure in space, harvesting fuel and beaming solar energy back to Earth.","Mina recursos para construir infraestructura en el espacio, recolectando combustible y enviando energía solar a la Tierra.",,,,,
"Socialism is about providing not just bread and roses. Perhaps also BVLGARI and Ferraris for all. This policy will raise contentedness, but at a great environmental cost. ","El socialismo se trata de proporcionar no solo pan y rosas. Quizás también BVLGARI y Ferraris para todos. Esta política generará satisfacción, pero a un gran costo ambiental.",,,,,
"Research and develop nuclear reactors that run on spent uranium and generates more fissile material than it consumes. Current designs suffer from many issues, such as relying on volatile liquid sodium coolant.","Investiga y desarrolla reactores nucleares que funcionen con uranio gastado y generen más material fisionable del que consume. Los diseños actuales tienen muchos problemas, como depender del refrigerante de sodio líquido volátil.",,,,,
"This new curriculum will teach students to think critically about the supposed objectivity of science or the naturalness of patriarchy. Students will read classics such as the 'Cyborg Manifesto', the 'Sexual Politics of Meat', the 'Parable of the Sower'. This policy will improve your relationship with the Ecofeminist. ","Este nuevo currículo enseñará a los estudiantes a pensar críticamente sobre la supuesta objetividad de la ciencia o la naturalidad del patriarcado. Los estudiantes leerán clásicos como el ""Manifiesto Cyborg"", la ""Política sexual de la carne"", la ""Parábola del sembrador"". Esta política mejorará tu relación con el ecofeminismo.",,,,,
"Inject particles into clouds to reflect more sunlight, reducing global temperatures.","
Inyecta partículas en las nubes para reflejar más luz solar, reduciendo las temperaturas globales.",,,,,
Install DAC units to take CO2 out of the atmosphere.,Instale unidades de captura directa de aire (DAC) para eliminar el CO2 de la atmósfera.,,,,,
"Teach children and adolescents that they can move mountains, channel rivers, and reshape the Earth until it becomes a mere human artifact. Socialism should remove the fetters on the forces of production, accelerate scientific developments, and reach for the stars! Students will read Edward Bellamy, Aaron Bastani, and Mikhail Budyko.","Enseña a la juventud que puedee mover montañas, canalizar ríos y remodelar la Tierra hasta convertirla en un mero artefacto humano. ¡El socialismo debe quitar las barreras a las fuerzas productivas, acelerar el desarrollo científico y alcanzar las estrellas! El estudiantado leerá a Edward Bellamy, Aaron Bastani y Mikhail Budyko.",,,,,
"Restore, remediate, and/or reforest any land that has been degraded or otherwise affected by human activity, including peatlands, coastal ecosystems, forests, and more.","
Restaurar, remediar y/o reforestar cualquier tierra que haya sido degradada o afectada de otro modo por la actividad humana, incluidas las turberas, los ecosistemas costeros, los bosques y más.",,,,,
"Research the use of viruses ('phages') to kill bacteria. See this as a global insurance policy against the eventual obsolescence of antibiotics due to antimicrobial resistance (AMR). Phages might not be as effective as antibiotics, but they are better than nothing. ","Investigar el uso de virus (""fagos"") para matar bacterias. Considera esto como una póliza de seguro global contra la eventual obsolescencia de los antibióticos debido a la resistencia a los antimicrobianos (RAM). Los fagos pueden no ser tan efectivos como los antibióticos, pero son mejores que nada.",,,,,
"Make champagne an everyday luxury. After all, socialism is about roses as well as bread.","Haz del champán un lujo cotidiano. Después de todo, el socialismo se trata tanto de rosas como de pan.",,,,,
"Cats kill 1.3-4 billion birds in US alone. Keeping cats indoors will help preserve avian and reptilian biodiversity, and protect the cats from cars and coyotes too.","Los gatos matan entre 1.300 y 4.000 millones de aves solo en EE. UU. Mantener a los gatos adentro ayudará a preservar la biodiversidad de aves y reptiles, y también protegerá a los gatos de los coches y los coyotes.",,,,,
"There is no official money in the post-revolutionary society, but libertarians still use crypto on the black market. Take thousands of these cryptographic-solving machines off the grid to save some electricity. ","No hay dinero oficial en la sociedad posrevolucionaria, pero los libertarios aún usan criptomonedas en el mercado negro. Saca miles de estas máquinas de cálculo criptográfico de la red para ahorrar algo de electricidad.",,,,,
Pump water from the ocean onto Antarctica to reduce melting rates.,Bombea agua del océano hacia la Antártida para reducir las tasas de fundición.,,,,,
Begin a campaign to address food waste across all parts of the food system.,Empieza una campaña para abordar el desperdicio de alimentos en todas las partes del sistema alimentario.,,,,,
Increase amount of habitable land under protection to preserve biodiversity.,Aumenta la cantidad de tierra habitable bajo protección para preservar la biodiversidad.,,,,,
Scale up carbon-negative concrete production processes.,Amplia los procesos de producción de hormigón con emisiones de carbono negativas.,,,,,
Expand desalination capacity to supplement dwindling freshwater supplies in stressed regions.,Amplia la capacidad de desalinización para complementar la disminución de los suministros de agua dulce en las regiones afectadas.,,,,,
Illuminate cities using satellites that will reflect sunlight onto nighttime cities below. This project will marginally lower electrical demand and will adversely affect nocturnal animals.,Ilumina las ciudades usando satélites que reflejarán la luz del sol en las ciudades nocturnas que se encuentran debajo. Este proyecto reducirá marginalmente la demanda eléctrica y afectará negativamente a los animales nocturnos.,,,,,
Mandate installation of point-source carbon capture and sequestration (CSS) on all fossil-fuel using facilities to store CO2 underground.,"
Exigir la instalación de puntos Captura y Secuestro de Carbono (CSS) en todas las instalaciones que utilizan combustibles fósiles para almacenar CO2 bajo tierra.",,,,,
"Implement guidelines for all new construction to use little energy thanks to improvements in insulation, clever design, and energy-production, and retrofit existing buildings to follow suit.","Implementa pautas para que todas las construcciones nuevas usen poca energía gracias a las mejoras en el aislamiento, el diseño inteligente y la producción de energía, y adapte los edificios existentes para seguir el ejemplo.",,,,,
"Introduce a new curriculum that argues population is the main driver of the environmental crisis. Children will be taught Malthusian classics such as 'An Essay on Population', 'The Tragedy of the Commons', and 'The Population Bomb'. This curriculum will endear you to the Malthusian but antagonize the Fanonist. ","Introduce un nuevo plan de estudios que argumenta que la población es el principal impulsor de la crisis ambiental. A la infancia se le enseñará clásicos malthusianos como ""Un ensayo sobre la población"", ""La tragedia de los comunes"" y ""La bomba demográfica"". Este plan de estudios le hará ganarse el cariño de los malthusianos, pero antagonizará a los fanonistas.",,,,,
"Cell-based meat or ""clean meat"" is in the news, but will it be as popular as meat?","La carne cultivada a base de células o ""carne limpia"" está en las noticias, pero ¿será tan popular como la carne?",,,,,
Develop new more drought-resistant varieties and encourage the adoption of existing drought-resistant crops.,Desarrolla nuevas variedades más resistentes a la sequía y alenta la adopción de cultivos resistentes a la sequía existentes.,,,,,
"Gradual replacement of hydrofluorocarbons (HFCs) with alternative refrigerants like ammonia, carbon dioxide, propane, and isobutane that have a significantly lower global warming potential.","El reemplazo gradual de hidrofluorocarbonos (HFC) con refrigerantes alternativos como el amoníaco, dióxido de carbono, propano e isobutano, que tienen un potencial de calentamiento global significativamente menor.",,,,,
"People will work longer and harder, but socialism will be built faster.","La gente trabajará más y más duro, pero el socialismo se construirá más rápido.",,,,,
Significantly expand the area of no-take marine reserves.,Ampliar significativamente el área de reservas marinas de prohibición de pesca.,,,,,
III-V Semiconductors solar panels and perovskite-based panels,Paneles solares hechos a base de semiconductores del grupo III-V y perovskita,,,,,
The good life isn't about having more things. Degrowth reduces energy and material consumption in the Global North while funding social programs to provide material  support for everyone.,La buena vida no se trata de tener más cosas. El decrecimiento reduce el consumo de energía y materiales en el Norte Global al tiempo que financia programas sociales para brindar apoyo material a todos.,,,,,
"New curriculum includes a vast literacy campaign to empower the working class and peasants of the global South. The works of Frantz Fanon, Paulo Freire, Audre Lorde will find a broad audience. This program will improve living conditions in the global South as well as your relationship with the Fanonist. ","Un nuevo plan de estudios que incluye una gran campaña de alfabetización para empoderar a la clase trabajadora y a los campesinos del Sur Global. Las obras de Frantz Fanon, Paulo Freire, Audre Lorde encontrarán una amplia audiencia. Este programa mejorará las condiciones de vida en el Sur global, así como tu relación con los fanonistas.",,,,,
"Develop a video game where citizens can devise their own plans regulating the global economy and natural world. People can debate, compare plans, and become involved in a lively socialist democracy.","Desarrolla un videojuego donde los ciudadanos puedan idear sus propios planes que regulen la economía global y el mundo natural. La gente podrá debatir, comparar planes y participar en una democracia socialista viva.",,,,,
Rewild newly arid lands into vibrant ecosystems. Deserts can support a surprising variety of plants and animals if given a chance to recover. More plants might lower the albedo and heat up the atmosphere slightly.,Renaturaliza tierras recientemente convertidas en terrenos áridos en ecosistemas vibrantes otra vez. Los desiertos pueden albergar una sorprendente variedad de plantas y animales si se les da la oportunidad de recuperarse. Más plantas podrían reducir el albedo y calentar un poco la atmósfera.,,,,,
"An old fashioned, low-tech solution that could have massive carbon sequestration potential. Half of all waste is biodegradable, but instead of decomposing into a useful carbon-rich fertilizer, this waste produces methane emissions when it is dumped in the anaerobic landfills.","Una solución pasada de moda y de baja tecnología que podría tener un enorme potencial de secuestro de carbono. La mitad de todos los desechos son biodegradables, pero en lugar de descomponerse en un útil fertilizante rico en carbono, estos producen emisiones de metano cuando se vierten en los vertederos anaeróbicos.",,,,,
Expand recycling infrastructure to rural and undeveloped areas and implement research and development initiatives in electronics recycling and plasma gasification.,Expandir la infraestructura del reciclaje a áreas rurales y subdesarrolladas e implementar iniciativas de investigación y desarrollo en reciclaje de productos electrónicos y gasificación por plasma.,,,,,
"Increasing production yields for farmers using robots to reduce human labor for tasks like spraying and weeding, crop harvesting, seeding and planting, soil analysis, and livestock feeding.","Aumentar los rendimientos de producción para los agricultores que utilizan robots para reducir la mano de obra humana en tareas como fumigación y desbrozado, cosecha de cultivos, siembra y plantación, análisis de suelos y alimentación del ganado.",,,,,
Develop improved and scalable algae biofuel production processes.,Desarrolla procesos de producción de biocombustibles de algas mejorados y escalables.,,,,,
"Conduct research into nuclear fusion. Odds of success are low and fusion still has many of the drawback of fission (radioactive waste, water-use for coolant, reliant on rare resources), though improved. Still, a possible source of low-carbon plentiful energy.","Realizar investigaciones sobre fusión nuclear. Las probabilidades de éxito son bajas y la fusión todavía tiene muchos de los inconvenientes de la fisión (residuos radiactivos, uso de agua como refrigerante, dependencia de recursos escasos), aunque mejorada. Aún así, una posible fuente de energía abundante baja en carbono.",,,,,
"Install co-generation systems in eligible structures and power facilities to generate electricity and heat at the same time, making use of otherwise wasted heat.","Instalar sistemas de cogeneración en estructuras elegibles e instalaciones eléctricas para generar electricidad y calor al mismo tiempo, aprovechando el calor desperdiciado.",,,,,
"Biodiversity has been plummeting, and people fear that most of earth's species will be lost forever. This project is an effort to collect and store DNA samples of Earth's remaining biodiversity in case the worst should come to pass.",La biodiversidad se ha desplomado y la gente teme que la mayoría de las especies de la Tierra se pierdan para siempre. Este proyecto es un esfuerzo por recolectar y almacenar muestras de ADN de la biodiversidad restante de la Tierra en caso de que suceda lo peor.,,,,,
"Reducing speed of freighters by 10% increases fuel efficiency by a third. Improvements in ship design, cleaner fuels, and sails can reduce emissions further up to 55%. ","Reducir la velocidad de los cargueros en un 10 % aumenta la eficiencia del combustible en un tercio. Las mejoras en el diseño de los barcos, combustibles más limpios y las velas pueden reducir las emisiones hasta en un 55 %.",,,,,
"Invest in the development of and infrastructure for zero-carbon hydrogen fuel generation. This makes it easier to decarbonize fuel-based industrial processes like steel and concrete productions, but requires lots of electricity.","Invertir en el desarrollo y la infraestructura para la generación de combustible de hidrógeno sin carbono. Esto facilita la descarbonización de los procesos industriales basados ​​en combustibles, como la producción de acero y hormigón, pero requiere mucha electricidad.",,,,,
"Build a self-sustainable underwater habitat for long-term human, plant and animal habitation.","Construye un hábitat submarino autosostenible para la habitación humana, vegetal y animal a largo plazo.",,,,,
"Implement a ban on all meat products, effective immediately.","Implementar una prohibición de todos los productos cárnicos, con efecto inmediato.",,,,,
"Hunting is an important driver of the Sixth Extinction, but still secondary to land-use change caused by the livestock industry. Seven per cent of all mammals are threatened with extinction because of hunting. ","La caza es un impulsor importante de la Sexta Extinción, pero sigue siendo secundario en comparación al cambio de uso de la tierra causado por la industria ganadera. El siete por ciento de todos los mamíferos están en peligro de extinción a causa de la caza.",,,,,
"With conventional oil sources running low, we can tap into other sources to keep the party going for a long time. Fracking, tar sands, and deep-water rigs are all possible sources, but they cause more environmental damage locally and globally in terms of increased CO2 emissions.","Con las fuentes de petróleo convencionales agotándose, podemos aprovechar otras fuentes para mantener la fiesta durante mucho tiempo. El fracking, las arenas bituminosas y las plataformas de aguas profundas son todas fuentes posibles, pero causan más daño ambiental a nivel local y global en términos de aumento de las emisiones de CO2.",,,,,
"First you grow the plants, then you burn them for power and capture the emissions to store underground permanently. It takes up a lot of land, but it's a way to get both negative carbon emissions and power generation.","Primero cultivas las plantas, luego las quemas para obtener energía y capturas las emisiones para almacenarlas bajo tierra de forma permanente. Ocupa mucho terreno, pero es una forma de obtener emisiones de carbono negativas y generación de energía.",,,,,
"Slaughterhouses are still brutal, but for now the kill lines will be slower and some of the worst practices have been banned, such as de-beaking, tail docking, and horn bud burning, as well as feeding animals feces, carcasses, candy, and garbage.

","Los mataderos siguen siendo brutales, pero por ahora las líneas de sacrificio serán más lentas y se han prohibido algunas de las peores prácticas, como el despicado, el corte de cola y la quema de cuernos, así como alimentar a los animales con heces, cadáveres, dulces, y basura.",,,,,
Begin global program to destroy weapons and scale down military and police budgets around the world.,Comenzar un programa global para destruir armas y reducir los presupuestos militares y policiales en todo el mundo.,,,,,
"Prevent poorer regions of the world from developing further. While this will reduce the environmental costs of economic growth, it ignores the high and growing rates of consumption in the Global North. ","Evitar que las regiones más pobres del mundo se desarrollen aún más. Si bien esto reducirá los costos ambientales del crecimiento económico, ignora las altas y crecientes tasas de consumo en el Norte Global.",,,,,
"Mass electrify services and devices that typically rely on fuels and not electricity, such as transportation and major industrial processes (e.g. steel and concrete). ","Electrificación masiva de servicios y dispositivos que generalmente dependen de combustibles y no de electricidad, como el transporte y los principales procesos industriales (por ejemplo, acero y hormigón).",,,,,
"Protect nature preserves with a small army of heavily armed park rangers. Their shoot-to-kill policy against poachers has made conservatism unpopular, especially in the Global South. ","Protege las reservas naturales con un pequeño ejército de guardaparques fuertemente armados. Su política de ""disparar a matar"" contra los cazadores furtivos ha hecho que el conservadurismo sea impopular, especialmente en el Sur Global.",,,,,
Mandate the use of biochar (basically a baked biomass) in agriculture to improve soil health and sequester more carbon.,Ordenar el uso de biocarbón (básicamente una biomasa horneada) en la agricultura para mejorar la salud del suelo y secuestrar más carbono.,,,,,
A global effort to develop new comprehensive public transit networks and upgrade ailing existing networks.,Un esfuerzo global para desarrollar nuevas redes integrales de transporte público y mejorar las redes existentes en crisis.,,,,,
Establish off-world colonies.,Establecer colonias fuera del mundo.,,,,,
