English,Translation
"Current annual emissions are {emissions} gigatonnes. <b class=""tip-goal"">Your goal is to get this to below 0.</b>","As emissões anuais atuais são {emissions} gigatoneladas. <b class=""tip-goal"">Seu objetivo é reduzir isso para abaixo de 0.</b>"
"Current annual emissions are {emissions}. <b class=""tip-goal"">Your goal is to get this to below 0.</b>","As emissões anuais atuais são de {emissions}. <b class=""tip-goal"">Sua meta é fazer com que fiquem abaixo de 0.</b>"
"Current annual emissions, in gigatonnes of CO2 equivalent.","Emissões anuais atuais, em gigatoneladas de CO₂ equivalente."
"Current biodiversity pressure is {amount}<span class=""type-total"">/{maxAmount}</span>.","A pressão atual sobre a biodiversidade é {amount}<span class=""type-total"">/{maxAmount}.</span>"
Current energy use.,Consumo de energia atual.
Current land use.,Uso da terra atual.
Current water demand.,Demanda de água atual.
"Current world contentedness is {contentedness}<span class=""type-total"">/{maxContentedness}</span>.","A aprovação atual no mundo é {contentedness}<span class=""type-total"">/{maxContentedness}.</span>"
Design,Concepção
Development,Desenvolvimento
Development Progress,Andamento
Disasters,Desastres
Dislikes,Aversões
Downgrade,"""Downgrade"""
Drag a card up to assign leftover production,Arraste um cartão para cima para atribuir a produção restante
Electricity,Eletricidade
Emissions,Emissões
Emissions: A shroud around the earth. You're emitting {amount} gigatonnes per year.,Emissões: Um manto ao redor da terra. Você está emitindo {amount} gigatoneladas por ano.
Energy Use,Uso de Energia
Energy: The fundamental mover. You're using {amount}TWh of energy.,Energia: O motor fundamental. Você está usando {amount}TWh de energia.
Events,Eventos
Extinction Rate,Taxa de Extinção
Fuel,Combustível
"Fuel demand will change from <img src=""{iconFuel}"">{prevDemandFuel} to <img src=""{iconFuel}"">{nextDemandFuel} and electricity demand will change from <img src=""{iconElec}"">{prevDemandElec} to <img src=""{iconElec}"">{nextDemandElec}.","A demanda por combustível mudará de <img src=""{iconFuel}"">{prevDemandFuel} para <img src=""{iconFuel}"">{nextDemandFuel} e a demanda por eletricidade mudará de <img src=""{ iconElec}"">{prevDemandElec} para <img src=""{iconElec}"">{nextDemandElec}."
Global demand for {output}.,Demanda global por {output}.
"Global {name} output will change from <img src=""{icon}"">{base} to <img src=""{icon}"">{changed} with no change in impacts.","A produção global de {name} mudará de <img src=""{icon}"">{base} para <img src=""{icon}"">{changed} sem alteração nos impactos."
Govt,Governo
High,Alto
How many seats your coalition has. Draw parties to your coalition by implementing projects they support.,Quantos assentos sua coalizão tem. Atraia partidos para sua coalizão implementando projetos que eles apoiam.
"How much political capital you have. Political capital is what you spend to implement your plans. <b class=""tip-warn"">If you run out you'll be pushed out of government.</b>","Quanto capital político você tem. Capital político é gasto para implementar planos. <b class=""tip-warn"">Se você ficar sem, será expulso do governo.</b>"
"How people around the world feel about the state of things. This is a combination of regional contentedness, crises, and policy decisions. <b class=""tip-warn"">If this goes below 0 you will be removed from power.</b>","Como as pessoas ao redor do mundo se sentem sobre a situação. Esta é uma combinação de satisfação regional, crises e decisões políticas. <b class=""tip-warn"">Se ficar abaixo de 0, você será removido do poder .</b>"
I request that you implement {name}. (+{pc}PC),Solicito que você realize {name}. (+{pc}PC)
I request that you stop {name}. (+{pc}PC),Solicito que interrompa {name}. (+{pc}PC)
Image:,Imagem:
Improve your relationship with {name} to activate this ability.,Melhore seu relacionamento com {name} para ativar essa habilidade.
Increases,Aumenta
Infrastructure,Infraestrutura
Infrastructure projects take 20% longer to finish.,Projetos de infraestrutura demoram 20% mais tempo para serem concluídos.
Land Use,Uso de Terras
Land: They're not making anymore of it. You're using {percent} of land.,Terras: Não estão fazendo mais disso. Você está usando {percent}% do terreno.
Level,Nível
Likely to increase,Provavelmente aumentará
Likely to reduce,Provavelmente reduzirá
Likely to unlock the {tag} process.,É provável que desbloqueie o processo {tag}.
Likely to unlock the {tag} project.,Provavelmente desbloqueará o projeto {tag}.
Likely to unlock this process:,Provavelmente desbloqueará este processo:
Likely to unlock this project:,Provavelmente desbloqueará este projeto:
Likely to unlock {name}.,Provavelmente desbloqueará {name}.
Likes,Preferências
Livestock,Rebanhos
Loading,Carregando
Low,Baixo
Lower habitability means unhappier people who may need to migrate to more hospitable locales.,Baixa habitabilidade significa pessoas mais infelizes que podem precisar migrar para locais mais hospitaleiros.
Max Level,Nível Máximo
Menu,Opções
Migrations will have less of an impact when they occur. But there might be other consequences.,As migrações terão menos impacto quando ocorrerem. Mas pode haver outras consequências.
Moderate,Médio
Music,Música
N2O,N2O
Nay,Não
New Game,Novo Jogo
Next,Próximo
Next Level,Próximo Nível
Off,Desligado
On,Ligado
One production point represents 5% of an entire production sector's productive capacity.,Um ponto de produção representa 5% de toda a capacidade produtiva de um setor produtivo.
Only direct impacts are shown.,São mostrados apenas impactos diretos.
Parliament,Parlamento
Parliament Suspended,Parlamento Suspenso
Parliament is conspiring against you.,O Parlamento está conspirando contra você.
Parliament is ready to work with you.,O Parlamento está pronto para trabalhar com você.
Parliament trusts you completely.,O Parlamento confia totalmente em você.
Passing,Aprovação
People are content.,As pessoas estão contentes.
People are ecstatic.,As pessoas estão em êxtase.
People are furious.,As pessoas estão furiosas.
People are happy.,As pessoas estão felizes.
People are unhappy.,As pessoas estão infelizes.
People are upset.,As pessoas estão chateadas.
Plan,Planos
Playtesting,Teste do Jogo
Policies,Políticas
Policy Outcome,Resultado da Política
Political Capital,Capital Político
Political Effects,Efeitos Políticos
Population,População
Post-Revolution Optimism,Otimismo Pós-Revolução
Prev Level,Nível Anterior
Prevents or stops metal shortages.,Previne ou interrompe a escassez de metal.
Project Completed,Projeto Completo
Read the book,Leia o livro
Ready,Pronto
Recent Disasters,Desastres Recentes
Reduce the habitability of regions.,Reduz a habitabilidade das regiões.
Reduces,Reduz
Region Contracted,Região Contratada
Region Developed,Região Desenvolvida
Regions,Regiões
Remove points,Remover pontos
Repeat the tutorial.,Repetir o tutorial.
Report,Relatório
Research,Pesquisa
Research and Writing,Pesquisa e Escrita
Research and infrastructure take 10% less time to complete.,Pesquisa e infraestrutura demoram 10% menos tempo para serem concluídas.
Research and infrastructure take 10% more time to complete.,Pesquisa e infraestrutura demoram 10% mais tempo para serem concluídas.
Research and infrastructure take 5% more time to complete.,Pesquisa e infraestrutura demoram 5% mais tempo para serem concluídas.
"Research points are 1<img src=""{iconPC}""> cheaper.","Os pontos de pesquisa são 1<img src=""{iconPC}""> mais baratos."
Research points: Allocate them to research projects!,Pontos de pesquisa: Desloque-os para projetos de pesquisa!
Researching,Pesquisando
Restart Game,Reiniciar o Jogo
Restoration projects take 10% less time to complete.,Os projetos de restauração demoram 10% menos tempo para serem concluídos.
Sea Level Rise,Aumento do Nível do Mar
Seceded,Separado
Sector,Setor
Skip,Pular
Skip the tutorial.,Pular o tutorial.
Small chance to increase,Pequena chance de aumentar
Small chance to reduce,Pequena chance de reduzir
Small chance to unlock the {tag} process.,Pequena chance de desbloquear o processo {tag}.
Small chance to unlock the {tag} project.,Pequena chance de desbloquear o projeto {tag}.
Small chance to unlock this process:,Pequena chance de desbloquear este processo:
Small chance to unlock this project:,Pequena chance de desbloquear este projeto:
Small chance to unlock {name}.,Pequena chance de desbloquear {name}.
Sound,Som
Stats,Estatísticas
Stops regional development throughout the world.,Congela o desenvolvimento regional em todo o mundo.
Tap for more details.,Toque para detalhes.
Temp. Anomaly,Anomalia na Temp.
Temperature,Temperatura
Thank you for playing!,Obrigado por jogar!
That's a {percent}% change.,Esta é uma mudança de {percent}%.
The amount of sea level rise is currently {amount}m.,A quantidade de aumento do nível do mar é atualmente {amount}m.
"The current biodiversity pressure. High land use and other factors increase this, and with it, the risk of ecological collapse.","A atual pressão sobre a biodiversidade. O alto uso da terra e outros fatores aumentam isso e, juntamente, o risco de colapso ecológico."
"The current biodiversity pressure. High land use and other factors increase this, and with it, the risk of ecological collapse. <b class=""tip-goal"">Your goal is to get this to below 20.</b>","A pressão atual sobre a biodiversidade. O alto uso da terra e outros fatores aumentam isso e, com ele, o risco de colapso ecológico. <b class=""tip-goal"">Sua meta é reduzir esse número para menos de 20.</b >"
"The current global temperature anomaly is +{anomaly}°C. The higher this is, the more unpredictable the climate becomes. <b class=""tip-goal"">Your goal is to get this below 1°C.</b>","A anomalia da temperatura global atual é de +{anomaly}°C. Quanto mais alta, mais imprevisível o clima se torna. <b class=""tip-goal"">Sua meta é fazer com que fique abaixo de 1°C.</ b>"
"The current global temperature anomaly. <strong>Increased warming</strong> will damage your political capital. <b class=""tip-goal"">Your goal is to get this below 1°C.</b>","A anomalia da temperatura global atual. O <strong>aumento do aquecimento</strong> prejudicará seu capital político. <b class=""tip-goal"">Sua meta é fazer com que fique abaixo de 1°C.</b>"
The estimated value after production changes have finished.,O valor estimado após a conclusão das alterações de produção.
The factors behind this event.↓,Os fatores por trás deste evento. ↓
The following processes can't produce as much as they need to: {processesOverLimit},Os processos a seguir não podem produzir tanto quanto precisam: {processesOverLimit}
The number of people on the planet.,O número de pessoas no planeta.
The world is becoming hostile to life.,O mundo está se tornando hostil à vida.
The world is becoming unbearable.,O mundo está se tornando insuportável.
The world is recovering.,O mundo está se recuperando.
The world is still warming.,O mundo ainda está aquecendo.
The {n}{ext} Planning Session,{n}{ext} Sessão de Planejamento
There are multiple production shortages:,Existe grande escassez de produção:
There is a alarming production shortage,Há uma alarmante escassez de produção
There is a critical production shortage,Há uma escassez crítica de produção
There is a mild production shortage,Há uma leve escassez de produção
There is a severe production shortage,Há uma grave escassez de produção
There is currently no limit on this process' mix share.,"Atualmente, não há limite de participação desse processo na composição total."
There is not enough {resources}. You should change your production mixes to use less of these or reduce demand elsewhere.,Não há {resources} suficientes. Você deve alterar a composição de produção para usar menos ou reduzir a demanda em outros lugares.
These changes will take {changesTime} planning cycle{ext} to take effect.,Essas alterações levarão {changesTime} ciclos de planejamento{ext} para entrar em vigor.
They won't have much effect.,Não terão muito efeito.
"This changes regional contentedness based on demand for {name}. Current world contentedeness is {amount}<span class=""type-total"">/{maxAmount}</span>.","Isso altera a aprovação regional com base na demanda por {name}. A aprovação mundial atual é {amount}<span class=""type-total"">/{maxAmount}.</span>"
"This changes regional contentedness based on income level (wealthier regions will feel it more). Current world contentedeness is {contentedness}<span class=""type-total"">/{maxContentedness}</span>.","Isso muda a satisfação regional com base no nível de renda (as regiões mais ricas sentirão mais). A satisfação mundial atual é {contentedness}<span class=""type-total"">/{maxContentedness}</span>."
"This changes {name} demand from <img src=""{icon}"">{currentDemand} to <img src=""{icon}"">{afterDemand}.","Isso altera a demanda de {name} de <img src=""{icon}"">{currentDemand} para <img src=""{icon}"">{afterDemand}."
"This changes {name} demand from <img src=""{icon}"">{currentDemand} to <img src=""{icon}"">{afterDemand}. This is a {percent}% change of all {name} demand.","Isso altera a demanda de {name} de <img src=""{icon}"">{currentDemand} para <img src=""{icon}"">{afterDemand}. Esta é uma alteração de {percent}% em todas as demandas de {nome}."
This effect {changeDir} the {kind} of this project {tipAmount}.,Este efeito {changeDir} o {kind} deste projeto {tipAmount}.
"This event can occur if ""{name}"" is {label}.","Este evento pode ocorrer se ""{name}"" for {label}"
This event can occur if {name} is your {relType}.,Este evento pode ocorrer se {name} for seu {relType}.
This event is influenced by biodiversity pressures.,Este evento é influenciado por pressões de biodiversidade.
This event is influenced by how happy people are.,Este evento é influenciado por quanto as pessoas são felizes.
This event is influenced by how much energy production can meltdown.,Este evento é influenciado pela quantidade de energia que pode se envolver em um desastre nuclear.
This event is influenced by how much energy production is intermittent.,Este evento é influenciado por quanto a produção de energia é intermitente.
This event is influenced by how much energy production produces nuclear waste.,Este evento é influenciado pela quantidade de produção de energia que produz resíduos nucleares.
This event is influenced by how much energy production uses fossil fuels.,Este evento é influenciado pela quantidade de produção de energia que utiliza combustíveis fósseis.
This event is influenced by how much food production uses livestock.,Este evento é influenciado pela quantidade de produção de alimentos que utiliza rebanhos.
This event is influenced by how much food production uses pesticides.,Este evento é influenciado pela quantidade de produção de alimentos que utiliza pesticidas.
This event is influenced by how much production involves carbon capture and storage.,Este evento é influenciado pela quantidade de produção que envolve a captura e armazenamento de carbono.
This event is influenced by how production is especially labor-intensive.,Este evento é influenciado pela forma como a produção é especialmente intensiva em mão-de-obra.
This event is influenced by the amount of sea level rise.,Este evento é influenciado pela quantidade de aumento do nível do mar.
This event is influenced by the demand for animal calories.,Este evento é influenciado pela demanda por calorias animais.
This event is influenced by the demand for electricity.,Este evento é influenciado pela demanda de energia elétrica.
This event is influenced by the demand for fuel.,Este evento é influenciado pela demanda por combustível.
This event is influenced by the demand for plant calories.,Este evento é influenciado pela demanda por calorias vegetais.
This event is influenced by the global temperature anomaly.,Este evento é influenciado pela anomalia na temperatura global
This event is influenced by the habitability of regions.,Este evento é influenciado pela habitabilidade das regiões.
This event is influenced by the mix share of {name}.,Este evento é influenciado pela composição de {name}.
This event is influenced by the output of {name}.,Este evento é influenciado pela saída de {name}.
This event occurred during this planning cycle.,Este evento ocorreu durante este ciclo de planejamento.
This feedstock has been depleted.,Esta matéria-prima se esgotou.
"This feedstock is depleted, so this process is stopped. You should reallocate its points to other processes.","Esta matéria-prima está esgotada, então este processo está interrompido. Você deve deslocar seus pontos para outros processos."
This industry is not yet significant.,Esta indústria ainda não é significante.
This industry's demand for {output}. This makes up {percent}% of total demand for {output}.,A demanda desta indústria por {output}. Isso representa {percent}% da demanda total por {output}.
This industry's non-energy CO2eq emissions.,As emissões não energéticas de CO₂eq desta indústria.
This is not the end...,Este não é o fim...
This new character will be unlocked:,Este novo personagem será desbloqueado:
This output's production will,Os resultados desta região vão
This policy costs {remainingCost} political capital to implement.,Esta política custa {remainingCost} de capital político para ser implementada.
This process can't produce this much because of feedstock or other limits. You should reallocate its points to other processes.,"Este processo não pode produzir tanto por causa da matéria-prima ou outros limites. Você deve
deslocar seus pontos para outros processos."
This process currently makes up {mixPercent}% of {output} production.,"Atualmente, esse processo representa {mixPercent}% da produção de {output}."
This process currently produces {amount}<img src='{outputIcon}'> and {emissions}<img src='{emissionsIcon}'> per year.,"Atualmente, esse processo produz {amount}<img src='{outputIcon}'> e {emissions}<img src='{emissionsIcon}'> por ano."
This process uses {feedstockName}. {feedstockEstimateDesc},Este processo usa {feedstockName}. {feedstockEstimateDesc}
This project was completed.,Este projeto foi concluído.
This region has {incomeName} living standards. Higher living standards mean higher material footprints.,Esta região tem padrão de vida {incomeName}. Padrões de vida mais altos significam pegadas de material mais altas.
This region's contentedness.,A aprovação desta região.
This region's current precipitation range.,A faixa de precipitação atual desta região.
This region's current temperature range.,A faixa de temperatura atual desta região.
This region's habitability.,A habitabilidade desta região.
This region's habitability. Natural disasters and hotter temperatures lower habitability.,A habitabilidade desta região. Desastres naturais e temperaturas mais quentes reduzem a habitabilidade.
"This region's income level has contracted to <strong>{income}</strong>. Demand for <img src='{iconElec}'>electricity, <img src='{iconFuel}'>fuel, <img src='{iconPCals}'>plant and <img src='{iconACals}'>animal-based food has been updated.","O nível de renda desta região foi reduzido para <strong>{income}</strong>. Demandas por <img src='{iconElec}'>eletricidade,<img src='{iconFuel}'>combustíveis, <img src='{iconPCals}'>vegetais e <img src='{iconACals}'>alimentos de origem animal foram atualizadas."
"This region's income level has increased to <strong>{income}</strong>. Demand for <img src='{iconElec}'>electricity, <img src='{iconFuel}'>fuel, <img src='{iconPCals}'>plant and <img src='{iconACals}'>animal-based food has been updated.","O nível de renda desta região aumentou para <strong>{income}</strong>. Demandas por <img src='{iconElec}'>eletricidade, <img src='{iconFuel}'>combustíveis, <img src='{iconPCals}'>vegetais e <img src='{iconACals}'>alimentos de origem animal foram atualizadas."
This region's new demand for {output}.,Demanda atual desta região por {output}
This region's new income level.,Nível atual de renda desta região.
This region's per-capita demand level for {output}. The total regions's demand is {demand}. This makes up {demandPercent} of total demand for {output}.,O nível de demanda per capita desta região para {output}. A demanda total das regiões é {demand}. Isso compõe {demandPercent} da demanda total por {output}.
This region's per-capita demand level for {output}. The total regions's demand is {demand}<img src='{icon}' />. This makes up {percent} of total demand for {output}.,"O nível de demanda per capita desta região para {output}. A demanda total das
regiões é {demand}<img src='{icon}' />. Isso compõe {percent} da demanda total
por {output}."
This region's previous demand for {output}.,Demanda anterior desta região por {output}
This region's previous income level.,Nível anterior de renda desta região.
This region's progress to the next income level.,O progresso desta região para o próximo nível de renda.
"This will change emissions for {name} from <img src=""{icon}"">{emissionsBefore} to <img src=""{icon}"">{emissionsAfter}. This is a {emissionsChange}% change of all emissions.","Isso mudará as emissões de {name} de <img src=""{icon}"">{emissionsBefore} para <img src=""{icon}"">{emissionsAfter}.
Esta é uma alteração de {emissionsChange}% de todas as emissões."
This will change {resource} demand for {name} by some unknown amount.,Isso mudará a demanda de {resource} para {name} por uma quantidade indefinida.
"This will change {resource} demand for {name} from <img src=""{icon}"">{demandBefore} to <img src=""{icon}"">{demandAfter}. This is a {percent}% change of all {resource} demand.","Isso mudará a demanda de {resource} para {name} de <img src=""{icon}"">{demandBefore} para <img src=""{icon}"">{demandAfter}. Esta é uma alteração de {percent}% de toda a demanda de {resource}."
"This will change {short} for {name} from <img src=""{icon}"">{change}","Isso mudará {short} para {name} de <img src=""{icon}"">{change}"""
This will directly change annual emissions by {amount}.{percent},Isso mudará diretamente as emissões anuais em {amount}. {percent}.
This will directly change global precipitation by {amount}<strong>cm/yr</strong>.,Isso mudará diretamente a precipitação global em {amount}<strong>cm/ano</strong>.
This will directly change the global temperature anomaly by {amount}<strong>°c</strong>.,Isso alterará diretamente a anomalia de temperatura global em {amount} <strong>°c</strong>
This will limit the amount of land that processes can use. The amount of land under protection will change from {before}% to {after}%.,Isso limitará a quantidade de terra que os processos podem usar. A quantidade de terra sob proteção mudará de {before}% para {after}%.
This will take about {remainingCost} to finish. Allocate more {kind} points to accelerate its progress.,Isso custará cerca de {remainingCost} para ser concluído. Invista mais pontos de {kind} para acelerar seu progresso.
Tiny chance to increase,Minúscula chance de aumentar
Tiny chance to reduce,"Minúscula
chance de reduzir"
Tiny chance to unlock the {tag} process.,Minúscula chance de desbloquear o processo {tag}.
Tiny chance to unlock the {tag} project.,Minúscula chance de desbloquear o projeto {tag}.
Tiny chance to unlock this process:,Minúscula chance de desbloquear este processo:
Tiny chance to unlock this project:,Minúscula chance de desbloquear este projeto:
Tiny chance to unlock {name}.,Minúscula chance de desbloquear {name}.
Tips,Dicas
Total,Total
Total Change,Mudança Total
Translation,Tradução
Try Again?,Tentar Novamente?
Undo,Desfazer
Unlikely to increase,Provavelmente não aumentará
Unlikely to reduce,Provavelmente não reduzirá
Unlikely to unlock the {tag} process.,É improvável que desbloqueie o processo {tag}.
Unlikely to unlock the {tag} project.,Provavelmente não desbloqueará o projeto {tag}.
Unlikely to unlock this process:,Provavelmente não desbloqueará este processo:
Unlikely to unlock this project:,Provavelmente não desbloqueará este projeto:
Unlikely to unlock {name}.,É improvável que desbloqueie {name}.
Unused,Não utilizado
Upgrading in one planning cycle.,Será aplicado no próximo ciclo de planificação.
Very High,Muito Alto
Very Low,Muito Baixo
View All,Consultar
Water Stress,Sobrecarga Hídrica
Water: The giver of life. You're using {percent} of water resources.,Água: Água é vida. Você está usando {percent}% dos recursos hídricos.
We aren't tracking this feedstock.,Não estamos acompanhando esta matéria-prima.
Well Played!,Muito Bem!
Will increase,Aumentará
Will reduce,Reduzirá
Will unlock the {tag} process.,Desbloqueará o processo {tag}.
Will unlock the {tag} project.,Desbloqueará o projeto {tag}.
Will unlock this process:,Desbloqueará este processo:
Will unlock this project:,Desbloqueará este projeto:
Will unlock {name}.,Desbloqueará {name}.
Withdraw,Retirar
Won't increase,Não aumentará
Won't reduce,Não reduzirá
Won't unlock the {tag} process.,Não desbloqueará o processo {tag}.
Won't unlock the {tag} project.,Não desbloqueará o projeto {tag}.
Won't unlock this process:,Não desbloqueará este processo:
Won't unlock this project:,Não desbloqueará este projeto:
Won't unlock {name}.,Não desbloqueará {name}.
World,Mundo
Yea,Sim
You had an extraterrestrial encounter.,Você teve um encontro com extraterrestres.
You have {yearsLeft} years left in your tenure.,Você tem {yearsLeft} anos restantes em seu mandato.
You received a request to ban this process:,Você recebeu uma solicitação para banir este processo:
You received a request to implement this project:,Você recebeu uma solicitação para realizar este projeto:
You received a request to promote this process:,Você recebeu uma solicitação para ampliar este processo:
You received a request to stop this project:,Você recebeu uma solicitação para interromper este projeto:
You should reallocate its points to other processes.,Você deve deslocar seus pontos para outros processos.
You were bailed out.,Você foi salvo.
Your coalition has {coalitionSeats}/{totalSeats} seats.,Sua coalizão tem {coalitionSeats} em {totalSeats} assentos.
Your relationship with {name}. Increase it by implementing projects they like. At 5 hearts or more they will join your coalition.,"Seu relacionamento com {name}. Aumente-o implementando projetos que eles gostam. Com 5 corações ou mais, eles se juntarão à sua coalizão."
alarming,alarmante
an unknown amount,uma quantidade desconhecida
biodiversity pressure,pressão sobre a biodiversidade
by an unknown amount,por uma quantia indefinida
cost,custo
critical,crítica
crops,colheitas
decrease {k} by {change},Reduzir {k} em {change}.
development time,tempo de desenvolvimento
electricity,eletricidade
emissions,emissões
energy use,uso de energia
from {tipIcon}{cost}{unit} to {tipIcon}{newCost}{unit},de {tipIcon}{cost}{unit} para {tipIcon}{newCost}{unit}
fuel,combustíveis
increase {k} by {warn}{change}%,aumentar {k} em {warn}{change}%
land use,uso de terras
livestock,rebanhos
mild,leve
nd,ᵃ
rd,ª
research time,tempo de pesquisa
severe,grave
st,ᵃ
th,ᵃ
the extinction rate,taxa de extinção
water use,uso de água
year(s),ano(s)
"{changeDir} CO2 emissions for <span><img class=""effect-feature"" src=""{icon}"" />{feature}</span> by <strong>{percent}%.</strong>","{changeDir} emissões de CO₂ para <span><img class=""effect-feature"" src=""{icon}"" / >{feature} em <strong>{percent}%.</strong>"
{changeDir} all {name} production by <strong>{percent}%.</strong>,{changeDir} a produção de {name} em <strong>{percent}%.</strong>
{changeDir} biodiversity pressure by {amount}.,{changeDir} a pressão sobre a biodiversidade em {amount}.
"{changeDir} biodiversity pressure for <span><img class=""effect-feature"" src=""{icon}"" />{feature}</span> by <strong>{amount}.</strong>","{changeDir} a pressão sobre a biodiversidade de <span><img class=""effect-feature"" src=""{icon}"" />{feature} em <strong>{amount}.</strong>"""
{changeDir} contentedness by <strong>{amount}</strong>.,{changeDir} aprovação em <strong>{amount}</ strong>.
"{changeDir} demand for {name} by <img src=""{icon}"">{amount}.","{changeDir} demanda por {name} em <img src=""{icon}"">{amount}."
{changeDir} demand for {name} by <strong>{percent}%</strong>.,{changeDir} demanda por {name} em <strong>{percent}%</strong>
{changeDir} demand for {tag} by {amount}.,{changeDir} a demanda de {tag} em {amount}.
{changeDir} emissions by {amount}.,{changeDir} emissões em {amount}.
{changeDir} global population by {amount}.,{changeDir} a população global em {amount}.
{changeDir} global population growth by {amount}<strong>%.</strong>,{changeDir} o crescimento da população global em {amount}<strong>%.</strong>
{changeDir} global precipitation by {amount}<strong>cm/yr</strong>.,{changeDir} a precipitação global em {amount}<strong>cm/ano</strong>.
{changeDir} habitability in {type} regions by {amount}.,{changeDir} habitabilidade nas regiões {type} em {amount}.
{changeDir} maximum output for {process} by <strong>{amount}</strong>.,{changeDir} a produção máxima de {process} em <strong>{amount}</strong>.
