English,Translation
Likely to reduce,Azaltması muhtemel:
Likely to unlock the {tag} process.,{tag} işleminin kilidini açması muhtemel.
Likely to unlock the {tag} project.,{tag} projesini açması muhtemel.
Likely to unlock this process:,Şu işlemin kilidini muhtemelen açar:
Likely to unlock this project:,Şu projeyi açması muhtemel:
Likely to unlock {name}.,Kilidini açması muhtemel
Likes,Sevdikleri
Livestock,Hayvancılık
Loading,Yükleniyor
Low,Az
Lower habitability means unhappier people who may need to migrate to more hospitable locales.,"Düşük yaşanılabilirlik, yaşanılabilirliğin daha yüksek olduğu bölgelere göç edecek mutsuz insanlar demektir."
Max Level,Maks. Seviye
Menu,Menü
Migrations will have less of an impact when they occur. But there might be other consequences.,Göçler yaşandıklarında daha az etkiye sahlip olacaklar. Bunun diğer sonuçları olabilir
Moderate,Orta
Music,Müzik
N2O,N2O
Nay,Ret
New Game,Yeni Oyun
Next,Sıradaki
Next Level,Sonraki Seviye
Off,Kapalı
On,Açık
One production point represents 5% of an entire production sector's productive capacity.,"Bir üretim noktası, tüm üretim sektörünün üretim kapasitesinin %5'ini temsil eder."
Only direct impacts are shown.,Sadece doğrudan etkiler gösteriliyor
Parliament,Parlemento
Parliament Suspended,Parlemento Askıya Alındı
Parliament is conspiring against you.,Parlemento sana karşı komplo kurmakta.
Parliament is ready to work with you.,Parlemento seninle çalışmaya hazır.
Parliament trusts you completely.,Parlemento sana tamamen güveniyor.
Passing,Kabul
People are content.,Halk memnun.
People are ecstatic.,Halk mest olmuş.
People are furious.,Halk sinirli.
People are happy.,Halk mutlu.
People are unhappy.,Halk mutsuz.
People are upset.,Halk üzgün.
Plan,Plan
Playtesting,Oyun Testleri
Policies,Politikalar
Policy Outcome,Politika Sonucu
Political Capital,Politik Sermaye
Political Effects,Politik Etkileri
Population,Nüfus
Post-Revolution Optimism,Devrim Sonrası İyimserliği
Prev Level,Önceki Seviye
Prevents or stops metal shortages.,Metal kıtlıklarını durdurur ya da önler.
Project Completed,Proje Tamamlandı
Read the book,Kitabı Oku
Ready,Hazır
Recent Disasters,Güncel Felaketler
Reduce the habitability of regions.,Bölgelerin yaşanılabilirliğini azalt.
Reduces,Azaltır
Region Contracted,Bölge Küçüldü
Region Developed,Bölge Gelişti
Regions,Bölgeler
Remove points,Puan Sil
Repeat the tutorial.,Eğitimi tekrarla.
Report,Rapor
Research,Araştırma
Research and Writing,Araştırma ve Yazma
Research and infrastructure take 10% less time to complete.,Araştırma ve Altyapı projelerinin tamamlanması %10 daha az zaman alacak
Research and infrastructure take 10% more time to complete.,Araştırma ve Altyapı projelerinin tamamlanması %10 daha fazla zaman alacak
Research and infrastructure take 5% more time to complete.,Araştırma ve Altyapı projelerinin tamamlanması %5 daha fazla zaman alacak
"Research points are 1<img src=""{iconPC}""> cheaper.","Araştırma puanları 1<img src=""{iconPC}""> daha ucuz."
Research points: Allocate them to research projects!,Araştırma puanları: bunları araştırma projelerine tahsis et!
Researching,Araştırılıyor
Restart Game,Oyunu yeniden başlat
Restoration projects take 10% less time to complete.,Restorasyon projelerinin tamamlanması %10 daha az zaman alacak
Sea Level Rise,Deniz Seviyesi Artışı
Seceded,Ayrıldı
Sector,sektör
Skip,Geç
Skip the tutorial.,Eğitimi atla.
Small chance to increase,Düşük şansla artırır:
Small chance to reduce,Düşük şansla azaltır:
Small chance to unlock the {tag} process.,Düşük ihtimalle {tag} işleminin kilidini açar.
Small chance to unlock the {tag} project.,Düşük ihtimalle {tag} projesini açar.
Small chance to unlock this process:,Düşük ihtimalle şu işlemin kilidini açar:
Small chance to unlock this project:,Az ihtimalle şu projeyi açar:
Small chance to unlock {name}.,Düşük ihtimalle kilidini açar: {name}.
Sound,Ses
Stats,İstatistikler
Stops regional development throughout the world.,Dünya genelinde bölgesel kalkınmayı durdurur.
Tap for more details.,Detay için tıkla.
Temp. Anomaly,Sıcaklık Anomalisi
Temperature,Sıcaklık
Thank you for playing!,Oynadığınız için teşekkürler!
That's a {percent}% change.,Bu %{percent} değişim demek.
The amount of sea level rise is currently {amount}m.,Deniz seviyesindeki artış miktarı şuan {amount} metre.
"The current biodiversity pressure. High land use and other factors increase this, and with it, the risk of ecological collapse.",Mevcut biyolojik çeşitlilik baskısı. Yüksek arazi kullanımı ve diğer faktörler bunu ve bununla birlikte ekolojik çöküş riskini artırır.
"The current biodiversity pressure. High land use and other factors increase this, and with it, the risk of ecological collapse. <b class=""tip-goal"">Your goal is to get this to below 20.</b>","Mevcut biyolojik çeşitlilik baskısı. Yüksek arazi kullanımı ve diğer faktörler bunu ve bununla birlikte ekolojik çöküş riskini artırır. <b class=""tip-goal"">Amacın bunu 20'nin altına indirmek.</b>"
"The current global temperature anomaly is +{anomaly}°C. The higher this is, the more unpredictable the climate becomes. <b class=""tip-goal"">Your goal is to get this below 1°C.</b>","Mevcut küresel sıcaklık anomalisi +{anomali}°C'dir.  Bu ne kadar yüksek olursa, iklim o kadar öngörülemez hale gelir. <b class=""tip-goal"">Amacın bunu 1°C'nin altına düşürmek.</b>"
"The current global temperature anomaly. <strong>Increased warming</strong> will damage your political capital. <b class=""tip-goal"">Your goal is to get this below 1°C.</b>","Mevcut küresel sıcaklık anomalisi. strong>Artan ısınma</strong> politik sermayene zarar verir. <b class=""tip-goal"">Hedefin bunu 1°C'nin altına indirmek.</b>"
The estimated value after production changes have finished.,Üretim değişiklikleri bittikten sonra tahmini değer.
The factors behind this event.↓,Bu olayın arkasındaki faktörler.↓
The following processes can't produce as much as they need to: {processesOverLimit},Aşağıdaki işlemler gerektiği kadar üretemiyor: {processesOverLimit}
The number of people on the planet.,Gezegendeki insan sayısı.
The world is becoming hostile to life.,Dünya yaşama düşman hale geliyor.
The world is becoming unbearable.,Dünya yaşanılmaz hale geliyor.
The world is recovering.,Dünya iyileşiyor.
The world is still warming.,Dünya hala ısınıyor.
The {n}{ext} Planning Session,{n}{ext} Planlama Oturumu
There are multiple production shortages:,Birden fazla üretim kıtlığı var:
There is a alarming production shortage,Endişe verici bir üretim kıtlığı var
There is a critical production shortage,Kritik bir üretim kıtlığı var
There is a mild production shortage,Hafif bir üretim kıtlığı var
There is a severe production shortage,Şiddetli bir üretim kıtlığı var
There is currently no limit on this process' mix share.,Şu anda bu işlemin karışım paylaşımında herhangi bir sınırlama yok.
There is not enough {resources}. You should change your production mixes to use less of these or reduce demand elsewhere.,Yeterince {resources} yok. Üretim işlemlerini bundan daha az kullanacak şekilde değiştir veya talebi azalt.
These changes will take {changesTime} planning cycle{ext} to take effect.,Bu değişikliklerin eyleme geçmesi {changesTime} tur {ext} sürecek.
They won't have much effect.,Çok fazla etkileri olmayacak.
"This changes regional contentedness based on demand for {name}. Current world contentedeness is {amount}<span class=""type-total"">/{maxAmount}</span>.","Bu, bölgesel memnuniyeti {name} talebine göre değiştirir. Mevcut küresel memnuniyet {contentedness}<span class=""type-total"">/{maxContentedness}</span>."
"This changes regional contentedness based on income level (wealthier regions will feel it more). Current world contentedeness is {contentedness}<span class=""type-total"">/{maxContentedness}</span>.","Bu, gelir seviyesine bağlı olarak bölgesel memnuniyeti değiştirir (daha zengin bölgeler bunu daha fazla hissedecek). Mevcut dünya memnuniyeti {contentedness}<span class=""type-total"">/{maxContentedness}</span>."
"This changes {name} demand from <img src=""{icon}"">{currentDemand} to <img src=""{icon}"">{afterDemand}.","Bu, {name} talebini <img src=""{icon}"">{currentDemand} seviyesinden <img src=""{icon}"">{afterDemand} seviyesine getirir."
"This changes {name} demand from <img src=""{icon}"">{currentDemand} to <img src=""{icon}"">{afterDemand}. This is a {percent}% change of all {name} demand.","Bu, {name} talebini <img src=""{icon}"">{currentDemand} seviyesinden <img src=""{icon}"">{afterDemand} seviyesine getirir. Bu, tüm {name} talebinde %{percent} değişim demektir."
This effect {changeDir} the {kind} of this project {tipAmount}.,Bu efekt projenin {kind} {tipAmount} {changeDir}
"This event can occur if ""{name}"" is {label}.","Bu olay, eğer ""{name}"" {label} ise gerçekleşebilir."
This event can occur if {name} is your {relType}.,Bu olay {name} sizin {relType} ise yaşanabilir.
This event is influenced by biodiversity pressures.,Bu olay biyolojik çeşitlilik baskılarından etkilenir.
This event is influenced by how happy people are.,"Bu olay, insanların ne kadar mutlu olduklarından etkilenir."
This event is influenced by how much energy production can meltdown.,"Bu olay, ne kadar enerji üretiminin nükleer erime geçirebileceğinden etkilenir."
This event is influenced by how much energy production is intermittent.,"Bu olay, ne kadar enerji üretiminin kesintili olduğundan etkilenir."
This event is influenced by how much energy production produces nuclear waste.,"Bu olay, ne kadar enerji üretiminin nükleer atık ürettiğinden etkilenir."
This event is influenced by how much energy production uses fossil fuels.,"Bu olay, enerji üretiminin ne kadar fosil yakıt kullandığından etkilenir."
This event is influenced by how much food production uses livestock.,"Bu olay, gıda üretiminin hayvancılığı ne kadar kullandığından etkilenir."
This event is influenced by how much food production uses pesticides.,"Bu olay, gıda üretiminin ne kadar pestisit kullandığından etkilenir."
This event is influenced by how much production involves carbon capture and storage.,"Bu olay, üretimin ne kadar karbon yakalama ve depolamayı içerdiğinden etkilenir."
This event is influenced by how production is especially labor-intensive.,"Bu olay, üretimin özellikle emek yoğun olmasından etkilenir."
This event is influenced by the amount of sea level rise.,"Bu olay, deniz seviyesinin yükselme miktarından etkilenir."
This event is influenced by the demand for animal calories.,"Bu olay, hayvansal kalorilere olan talepten etkilenir."
This event is influenced by the demand for electricity.,Bu olay elektrik talebinden etkilenir.
This event is influenced by the demand for fuel.,Bu olay yakıt talebinden etkilenir.
This event is influenced by the demand for plant calories.,"Bu olay, bitki kalorilerine olan talepten etkilenir."
This event is influenced by the global temperature anomaly.,"Bu olay, küresel sıcaklık anomalisinden etkilenir."
This event is influenced by the habitability of regions.,Bu olay bölgelerin yaşanabilirliğinden etkilenir.
This event is influenced by the mix share of {name}.,Bu olay şunun bir karışımından etkilenmiştir: {name}
This event is influenced by the output of {name}.,Bu olay {name} üretiminden etkilenmiştir.
This event occurred during this planning cycle.,Bu olay planlama dögüsü sırasında gerçekleşti.
This feedstock has been depleted.,Bu hammadde tükendi.
"This feedstock is depleted, so this process is stopped. You should reallocate its points to other processes.","Bu hammadde tükendi, bu yüzden işlem durmuş durumda. Puanlarunı diğer işlemlere tahsis etmelisin."
This industry is not yet significant.,Bu endüstri henüz önemli değil.
This industry's demand for {output}. This makes up {percent}% of total demand for {output}.,"Bu endüstrinin {output} talebi. Bu, {output} için toplam talebin %{percent}'ini oluşturur."
This industry's non-energy CO2eq emissions.,Bu endüstrinin enerji kaynaklı olmayan CO2 cinsinden salınımları.
This is not the end...,Bu bir son değil…
This new character will be unlocked:,Şu yeni karakter açılacak:
This output's production will,Bu çıktının üretimi
This policy costs {remainingCost} political capital to implement.,Bu politikanın uygulanması {remainingCost} politik sermayeye mal olur.
This process can't produce this much because of feedstock or other limits. You should reallocate its points to other processes.,Bu işlem hammadde veya diğer sınırlamalar yüzünden bu kadar üretemez. Puanlarını başka işlemlere aktarmalısın.
This process currently makes up {mixPercent}% of {output} production.,Bu işlem şu anda {output} üretiminin %{mixPercent} kadarını karşılıyor.
This process currently produces {amount}<img src='{outputIcon}'> and {emissions}<img src='{emissionsIcon}'> per year.,Bu işlem şuanda yılda {amount}<img src='{outputIcon}'> ve {emissions}<img src='{emissionsIcon}'>  üretiyor.
This process uses {feedstockName}. {feedstockEstimateDesc},Bu işlem {feedstockName} kullanır. {feedstockEstimateDesc}
This project was completed.,Bu proje tamamlandı.
This region has {incomeName} living standards. Higher living standards mean higher material footprints.,Bu bölge {incomeName} yaşam standartlarına sahip. Daha yüksek yaşam standartları daha fazla materyal ayak izi demek.
This region's contentedness.,Bu bölgenin memnuniyeti.
This region's current precipitation range.,Bu bölgenin mevcut yağış aralığı.
This region's current temperature range.,Bu bölgenin mevcut sıcaklık aralığı.
This region's habitability.,Bu bölgenin yaşanabilirliği.
This region's habitability. Natural disasters and hotter temperatures lower habitability.,Bu bölgenin yaşanabilirliği. Doğal afetler ve daha yüksek sıcaklıklar yaşanabilirliği azaltır.
"This region's income level has contracted to <strong>{income}</strong>. Demand for <img src='{iconElec}'>electricity, <img src='{iconFuel}'>fuel, <img src='{iconPCals}'>plant and <img src='{iconACals}'>animal-based food has been updated.","Bu bölgenin gelir düzeyi <strong>{income}</strong> seviyesine daraldı. <img src='{iconElec}'>elektrik, <img src='{iconFuel}'>yakıt, <img src='{iconPCals}'>bitkisel ve <img src='{iconACals}'>hayvansal gıda talebi güncellendi."
"This region's income level has increased to <strong>{income}</strong>. Demand for <img src='{iconElec}'>electricity, <img src='{iconFuel}'>fuel, <img src='{iconPCals}'>plant and <img src='{iconACals}'>animal-based food has been updated.","Bu bölgenin gelir düzeyi <strong>{gelir}</strong> seviyesine yükseldi. <img src='{iconElec}'>elektrik, <img src='{iconFuel}'>yakıt, <img src='{iconPCals}'>bitkisel ve <img src='{iconACals}'>hayvansal gıda talebi güncellendi."
This region's new demand for {output}.,Bu bölgenin {output} için yeni talebi.
This region's new income level.,Bu bölgenin yeni gelir seviyesi
This region's per-capita demand level for {output}. The total regions's demand is {demand}. This makes up {demandPercent} of total demand for {output}.,Bu bölgenin {output} için olan kişi başına talep seviyesi. Bölgenin toplam talebi {demand}. Bu toplam {output} talebinin {demandPercent} kadarını oluşturuyor.
This region's per-capita demand level for {output}. The total regions's demand is {demand}<img src='{icon}' />. This makes up {percent} of total demand for {output}.,Bu bölgenin {output} için kişi başına talep seviyesi. Bölgenin toplam talebi  {demand}<img src='{icon}' />. Bu toplam {output} talebinin {percent} kadarını oluşturuyor.
This region's previous demand for {output}.,Bu bölgenin {output} için önceki talebi.
This region's previous income level.,Bu bölgenin önceki gelir seviyesi
This region's progress to the next income level.,Bu bölgenin bir sonraki gelir düzeyine ilerleme seviyesi.
"This will change emissions for {name} from <img src=""{icon}"">{emissionsBefore} to <img src=""{icon}"">{emissionsAfter}. This is a {emissionsChange}% change of all emissions.","Bu, {name} salınımlarını <img src=""{icon}"">{emissionsBefore} seviyesinden <img src=""{icon}"">{emissionsAfter} seviyesine getirecek. Bu tüm Salınımların %{emissionsChange} kadarını değiştirecek"
This will change {resource} demand for {name} by some unknown amount.,"Bu, {reseource} için olan {name} talebini bilinmeyen bir miktar kadar değiştirir."
"This will change {resource} demand for {name} from <img src=""{icon}"">{demandBefore} to <img src=""{icon}"">{demandAfter}. This is a {percent}% change of all {resource} demand.","Bu, {name} için olan {reseource} talebini <img src=""{icon}"">{demandBefore} seviyesinden <img src=""{icon}"">{demandAfter} seviyesine getirecek. Bu, tüm {reseource} talebinde %{percent} kadar değişim demek."
"This will change {short} for {name} from <img src=""{icon}"">{change}","Bu, {name} için {short} değerini <img src=""{icon}"">{change}"
This will directly change annual emissions by {amount}.{percent},"Bu, yıllık emisyonları doğrudan {amount}. {percent} oranında değiştirecektir."
This will directly change global precipitation by {amount}<strong>cm/yr</strong>.,"Bu, küresel yağış miktarını doğrudan  {amount}<strong>cm/yıl</strong> kadar değiştirir."
This will directly change the global temperature anomaly by {amount}<strong>°c</strong>.,"Bu, küresel sıcaklık anomalisini doğrudan {amount}<strong>°c</strong> kadar değiştirecektir."
This will limit the amount of land that processes can use. The amount of land under protection will change from {before}% to {after}%.,"Bu, süreçlerin kullanabileceği arazi miktarını sınırlayacaktır. Koruma altındaki arazi miktarı {before}%’ten {after}%’e değişecektir."
This will take about {remainingCost} to finish. Allocate more {kind} points to accelerate its progress.,Bu işlemin tamamlanması yaklaşık {remainingCost} sürer. İlerlemesini hızlandırmak için daha fazla {kind} puanı tahsis et.
Tiny chance to increase,Çok düşük şansla artırır:
Tiny chance to reduce,Çok düşük şansla azaltır:
Tiny chance to unlock the {tag} process.,Çok düşük ihtimalle {tag} işleminin kilidini açar.
Tiny chance to unlock the {tag} project.,Çok düşük ihtimalle {tag} projesini açar.
Tiny chance to unlock this process:,Çok düşük ihtimalle şu işlemin kilidini açar:
Tiny chance to unlock this project:,Çok düşük ihtimalle şu projeyi açar:
Tiny chance to unlock {name}.,Çok düşük ihtimalle kilidini açar: {name}.
Tips,İpuçları
Total,Toplam
Total Change,Toplam Değişim
Translation,Çeviri
Try Again?,Tekrar Dene?
Undo,Geri al
Unlikely to increase,Artırması muhtemel değil:
Unlikely to reduce,Azaltması muhtemel değil:
Unlikely to unlock the {tag} process.,{tag} işleminin kilidini açması muhtemel değil.
Unlikely to unlock the {tag} project.,{tag} projesini açması muhtemel değil.
Unlikely to unlock this process:,Şu işlemin kilidini açması muhtemel değil:
Unlikely to unlock this project:,Şu projeyi açması muhtemel değil:
Unlikely to unlock {name}.,Kilidini açması muhtemel değil: {name}.
Unused,Kullanılmamış
Upgrading in one planning cycle.,Bir planlama döngüsü içerisinde yükseltilecek.
Very High,Çok Yüksek
Very Low,Çok az
View All,Tümünü Gör
Water Stress,Su stresi
Water: The giver of life. You're using {percent} of water resources.,Su: Hayat verir. Su kaynaklarının %{percent} kadarını kullanıyorsun.
We aren't tracking this feedstock.,Bu hammaddeyi takip etmiyoruz.
Well Played!,İyi Oyundu!
Will increase,Artıracak:
Will reduce,Azaltacak
Will unlock the {tag} process.,{tag} işlemininin kilidini açar.
Will unlock the {tag} project.,{tag} projesini açar.
Will unlock this process:,Şu işlemi açar:
Will unlock this project:,Şu projeyi açar:
Will unlock {name}.,Kilidini açar: {tag}.
Withdraw,Geri Çek
Won't increase,Artırmayacak:
Won't reduce,Azaltmayacak
Won't unlock the {tag} process.,{tag} işleminin kilidini açmaz.
Won't unlock the {tag} project.,{tag} projesini açmaz
Won't unlock this process:,Şu işlemi açmaz:
Won't unlock this project:,Şu projeyi açmaz:
Won't unlock {name}.,Kilidini açmaz: {tag}.
World,Dünya
Yea,Evet
You had an extraterrestrial encounter.,Dünya dışı bir karşılaşma yaşadın
You have {yearsLeft} years left in your tenure.,Görev sürenizde {yearsLeft}  yılınız kaldı
You received a request to ban this process:,Şu işlemi durdurmak için bir talep aldın: {name}
You received a request to implement this project:,Şu projeyi uygulamak için bir talep aldın:
You received a request to promote this process:,Şu işlemi desteklemek için talep aldın: {name}
You received a request to stop this project:,Şu projeyi durdurmak için bir talep aldın:
You should reallocate its points to other processes.,Bu işlemin puanlarını başka noktalara aktarmalısın.
You were bailed out.,Kurtarıldın.
Your coalition has {coalitionSeats}/{totalSeats} seats.,Koalisyonunuzda {coalitionSeats}/{totalSeats} sandalye var.
Your relationship with {name}. Increase it by implementing projects they like. At 5 hearts or more they will join your coalition.,{name} ile olan ilişkiniz. Beğendikleri projeleri uygulayarak artırabilirsin. 5 veya daha fazla kalpte koalisyonuna katılacaklar.
alarming,Endişe verici
an unknown amount,Bilinmeyen  bir miktarda
biodiversity pressure,biyoçeşitlilik baskısı
by an unknown amount,Bilinmeyen bir miktar kadar
