English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
"Gadgets, Fast Fashion, and Endless TV",อุปกรณ์อิเล็กทรอนิกส์ แฟชั่นฉาบฉวย และทีวีไร้ที่สิ้นสุด,,แกดเจ็ตแฟชั่นที่รวดเร็วและทีวีที่ไม่มีที่สิ้นสุด,,,
Direct Air Capture,การดักจับอากาศโดยตรง,,การจับอากาศโดยตรง,,,
Continental Smart Grid,สมาร์ทกริดภาพื้นทวีป,,กริดสมาร์ทคอนติเนนตัล,,,
Passive Building Mandate & Retrofit,อาคารประหยัดพลังงานและการดัดแปลง,,อาณัติอาคารแบบพาสซีฟและการติดตั้งเพิ่มเติม,,,
Reintroduce Apex Predators,รื้อฟื้นนิเวศวิทยาแห่งความกลัว,,รื้อฟื้นนักล่าเอเพ็กซ์,,,
Antarctic Pumping,การสูบน้ำที่แอนตาร์กติก,,การสูบฉีดแอนตาร์กติก,,,
Stop Food Aid,หยุดความช่วยเหลือด้านอาหาร,,หยุดเครื่องช่วยอาหาร,,,
Close Borders,ปิดพรมแดน,,ปิดพรมแดน,,,
Underwater Biosphere,ชีวมณฑลใต้น้ำ,,อุณหภูมิใต้น้ำ,,,
Ban High-Seas Fishing,การห้ามตกปลาในทะเลหลวง,,ห้ามการตกปลาในทะเลสูง,,,
Abolish Prisons,การยกเลิกเรือนจำ,,ยกเลิกเรือนจำ,,,
One-Child Policy,นโยบายลูกคนเดียว,,นโยบายลูกคนเดียว,,,
Cloud Brightening,การสะท้อนแสงอาทิตย์กลับด้วยเมฆ,,เมฆสว่างขึ้น,,,
Next-Gen Solar PV,แผงโซลาร์เซลล์ล้ำยุค,,Solar PV รุ่นถัดไป,,,
Remove Fetters on the Forces of Production!,ปลดโซ่ตรวนแก่อำนาจการผลิต!,,เอาโซ่ตรวนไปที่กองกำลังผลิต!,,,
Degrowth in Developed Regions,ลดความเจริญในภูมิภาคที่พัฒนาแล้ว,,Degrowth ในภูมิภาคที่พัฒนาแล้ว,,,
Militarized Conservation,การอนุรักษ์ทางทหาร,,การอนุรักษ์ทางทหาร,,,
Desalination Plants,ระบบผลิตน้ำจืดจากน้ำทะเล ,,พืชกลั่นน้ำทะเล,,,
Sewage Treatment Plants,โรงบำบัดน้ำเสีย,,โรงบำบัดน้ำเสีย,,,
Unconventional Petroleum Industry,อุตสาหกรรมปิโตรเลียมนอกรูปแบบ,,อุตสาหกรรมปิโตรเลียมที่ไม่เป็นทางการ,,,
Soil Fertility AI,ปัญญาประดิษฐ์ประเมินความอุดมสมบูรณ์ของดิน,,ความอุดมสมบูรณ์ของดิน AI,,,
Alternative Refrigerants,สารทำความเย็นทางเลือก,,สารทำความเย็นทางเลือก,,,
Biofabrication,การสร้างผลิตภัณฑ์จากสารชีวภาพ,,การใช้ชีวภาพ,,,
Orbital Space Settlements,ยานอาณานิคมอวกาศ,,การตั้งถิ่นฐานในพื้นที่วงโคจร,,,
Esperanto,ภาษาเอสเปรันโต,,ชาวเอสเปอร์รันโต,,,
Remediate and Protect Ecosystems,ฟื้นฟูและปกป้องระบบนิเวศ,,แก้ไขและปกป้องระบบนิเวศ,,,
Asteroid Mining,การขุดดเหมืองบนดาวเคราะห์น้อย,,การขุดดาวเคราะห์น้อย,,,
Regenerative Agriculture,เกษตรกรรมฟื้นฟู,,เกษตรกรรม,,,
Stakhanovite Shock Workers,กรรมกรแรงงานหนักสายสตาคานอฟ,,พนักงานช็อต Stakhanovite,,,
Co-Generation,โรงไฟฟ้าผลิตพลังงานร่วม,,การสร้างร่วมกัน,,,
Coastal Wetland Protection and Restoration,การป้องกันและฟื้นฟูพื้นที่ชุ่มน้ำชายฝั่ง,,การป้องกันและฟื้นฟูพื้นที่ชุ่มน้ำชายฝั่ง,,,
Energy Quotas,โควต้าพลังงาน,,โควต้าพลังงาน,,,
Hempcrete,คอนกรีตธรรมชาติจากใบกัญชง,,เครื่องปั่นป่วน,,,
Keep Global South Poor,คงระดับความจนในโลกฝั่งใต้ไว้เหมือนเดิม,,รักษาความน่าสงสารทางใต้ของโลก,,,
Green Roofs,หลังคารักษ์โลก,,หลังคาสีเขียว,,,
Long-Range Electric Aviation,การบินระยะไกลโดยใช้พลังงานไฟฟ้า,,การบินไฟฟ้าระยะยาว,,,
Ban Outdoor Cats,ห้ามเลี้ยงแมวนอกบ้าน,,ห้ามแมวกลางแจ้ง,,,
Expand Nature Preserves,ขยายเขตอนุรักษ์ธรรมชาติ,,ขยายการอนุรักษ์ธรรมชาติ,,,
Eliminate Natural Predation,กำจัดการล่าเหยื่อตามธรรมชาติ,,กำจัดการปล้นสะดมตามธรรมชาติ,,,
Drought-Resistant Crops,พืชทนสภาพแล้ง,,พืชที่ทนแล้ง,,,
Pedestrian and Bike-Friendly Cities,เมืองที่เป็นมิตรต่อการเดินเท้าและจักรยาน,,เมืองเดินเท้าและจักรยานที่เป็นมิตร,,,
Biosphere 3,ชีวมณฑล 3,,ชีวมณฑล 3,,,
Ban Cars,ห้ามใช้รถ,,ห้ามรถ,,,
Search for Extraterrestrial Life,ค้นหาสิ่งมีชีวิตนอกโลก,,ค้นหาชีวิตนอกโลก,,,
Rien Faire Comme une Bête,สงบนิ่งดั่งอสูรกาย,,Rien Faire Comme une bête,,,
Deep Sea Mining,การขุดเหมืองทะเลลึก,,การขุดทะเลลึก,,,
De-Extinction Program,โครงการฟื้นคืนสัตว์สูญพันธุ์,,โปรแกรมการลดทอน,,,
Food Waste Campaign,แคมเปญลดขยะจากอาหาร,,แคมเปญขยะอาหาร,,,
Low-Methane Cattle Fodder,ฟาร์มวัวมีเธนต่ำ,,สัตว์เลี้ยงวัวมีเธนต่ำ,,,
Abolish Zoos,ยกเลิกสวนสัตว์,,ยกเลิกสวนสัตว์,,,
Ecofeminist Curriculum,หลักสูตรสตรีนิยมเชิงนิเวศ,,หลักสูตร Ecofeminist,,,
Expand Public Transit,ขยายการขนส่งสาธารณะ,,ขยายการขนส่งสาธารณะ,,,
Environmentalist Curriculum,หลักสูตรนักอนุรักษ์สิ่งแวดล้อม,,หลักสูตรนักอนุรักษ์สิ่งแวดล้อม,,,
Artificial Moons,ดวงจันทร์ประดิษฐ์,,ดวงจันทร์ประดิษฐ์,,,
(Mostly) Full Automation,ระบบอัตโนมัติเต็มรูปแบบ (ส่วนใหญ่),,(ส่วนใหญ่) ระบบอัตโนมัติเต็มรูปแบบ,,,
Bioenergy Carbon Capture and Sequestration (BECCS),พลังงานชีวภาพที่มีการดักจับและกักเก็บคาร์บอน (BECCS),,การดักจับคาร์บอนและการกักเก็บพลังงานชีวภาพ (BECCS),,,
Wooden Skyscrapers,ตึกไม้ระฟ้า,,ตึกระฟ้าไม้,,,
Nuclear Fusion,นิวเคลียร์ฟิวชั่น,,นิวเคลียร์ฟิวชั่น,,,
Project Descriptions,0,,0,0,,Y
"Suspend parliament so that nothing gets in the way of your plans. This will give you some time and political capital carry out your agenda, but discontent will increase.",ระงับรัฐสภาเพื่อไม่ให้มีสิ่งใดขัดขวางแผนของคุณ นี่จะทำให้คุณมีเวลาและทุนทางการเมืองในการดำเนินการตามวาระของคุณ แต่ความไม่พอใจจะเพิ่มขึ้น,,ระงับรัฐสภาเพื่อที่จะไม่ได้รับแผนการของคุณ สิ่งนี้จะทำให้คุณมีเวลาและทุนทางการเมืองดำเนินการตามวาระของคุณ แต่ความไม่พอใจจะเพิ่มขึ้น,,,
Start a campaign to encourage energy conservation and low-energy lifestyles.,เริ่มรณรงค์ส่งเสริมการอนุรักษ์พลังงานและวิถีชีวิตที่ใช้พลังงานต่ำ,,เริ่มการรณรงค์เพื่อส่งเสริมการอนุรักษ์พลังงานและวิถีชีวิตพลังงานต่ำ,,,
Send radio waves into the dark void surrounding us. The hope is that we're not alone.,ส่งคลื่นวิทยุเข้าสู่ความว่างเปล่าอันมืดมิดที่ห้อมล้อมเราอยู่โดยหวังว่าเราจะไม่ได้อยู่เพียงลำพัง,,ส่งคลื่นวิทยุเข้าไปในช่องว่างมืดรอบ ๆ เรา ความหวังคือเราไม่ได้อยู่คนเดียว,,,
"Ban fishing outside of exclusive economic zones (200 miles from the coast), effectively creating a huge nature preserve. However, most fish are near the coast so ecological benefits and economic impacts will be limited.",ห้ามตกปลานอกเขตเศรษฐกิจจำเพาะ (200 ไมล์จากชายฝั่ง) ทำให้เกิดการอนุรักษ์ธรรมชาติขนาดขนานใหญ่ได้อย่างมีประสิทธิภาพ อย่างไรก็ตาม ปลาส่วนใหญ่อยู่ใกล้ชายฝั่ง ดังนั้นประโยชน์ทางนิเวศวิทยาและผลกระทบทางเศรษฐกิจจึงมีจำกัด,,ห้ามการตกปลานอกเขตเศรษฐกิจพิเศษ (200 ไมล์จากชายฝั่ง) สร้างการอนุรักษ์ธรรมชาติขนาดใหญ่อย่างมีประสิทธิภาพ อย่างไรก็ตามปลาส่วนใหญ่อยู่ใกล้กับชายฝั่งเพื่อประโยชน์ทางนิเวศวิทยาและผลกระทบทางเศรษฐกิจจะถูก จำกัด,,,
"Introduce an environmentalist curriculum to provide an ecological foundation to social thought. Students will read classic texts by Rachel Carson, Aldo Leopold, and Elizabeth Kolbert.","แนะนำหลักสูตรนักสิ่งแวดล้อมเพื่อเป็นรากฐานทางนิเวศต่อความคิดทางสังคม ผู้เรียนจะได้อ่านบทคลาสสิกของ Rachel Carson, Aldo Leopold และ Elizabeth Kolbert",,"แนะนำหลักสูตรนักอนุรักษ์สิ่งแวดล้อมเพื่อให้รากฐานทางนิเวศวิทยาแก่ความคิดทางสังคม นักเรียนจะอ่านตำราคลาสสิกโดย Rachel Carson, Aldo Leopold และ Elizabeth Kolbert",,,
"Soil and vegetation function as living roof insulation, moderating building temperatures year-round. Greenhouse gas emissions are lower.",ดินและพืชพรรณทำหน้าที่เป็นฉนวนหลังคาที่มีชีวิต ช่วยควบคุมอุณหภูมิอาคารตลอดทั้งปี การปล่อยก๊าซเรือนกระจกก็ลดลง,,ทำหน้าที่ดินและพืชพรรณเป็นฉนวนกันความร้อนหลังคาที่มีชีวิตควบคุมอุณหภูมิอาคารตลอดทั้งปี การปล่อยก๊าซเรือนกระจกต่ำกว่า,,,
"Perennial versions of the major cereal crops mean they don't need to be replanted each year, disturbing the soil less and sequestering more in deep roots.",การปลูกพืชยืนต้นหมายความว่าเราไม่จำเป็นต้องปลูกใหม่ทุกปี เท่ากับว่ารบกวนดินน้อยลง และมีรากไม้หยั่งลึกมากขึ้น,,พืชซีเรียลที่สำคัญตลอดกาลหมายความว่าพวกเขาไม่จำเป็นต้องปลูกใหม่ในแต่ละปีรบกวนดินน้อยลงและแยกตัวออกไปในรากลึกมากขึ้น,,,
"Scale up concrete production from hemp, locking carbon in building materials.",เพิ่มขนาดการผลิตคอนกรีตจากกัญชง ช่วยกักเก็บคาร์บอนในวัสดุก่อสร้าง,,ขยายการผลิตคอนกรีตจากกัญชาล็อคคาร์บอนในวัสดุก่อสร้าง,,,
"Titan has an abundance of liquid hydrocarbons, more than even Earth. We could go get it...but why?",ไททันมีไฮโดรคาร์บอนเหลวอยู่เป็นจำนวนมาก มากกว่าในโลกด้วยซ้ำ เราไปเอามาก็ได้...แต่ทำไมล่ะ?,,ไททันมีไฮโดรคาร์บอนเหลวมากมายมากกว่าแม้กระทั่งโลก เราจะไปได้ ... แต่ทำไม?,,,
Limit air travel to only long-haul trips that can't be accomplished by train.,สงวนการเดินทางทางอากาศไว้เฉพาะการเดินทางระยะไกลที่ไม่สามารถเดินทางได้โดยรถไฟ,,จำกัด การเดินทางทางอากาศไปยังการเดินทางระยะไกลที่ไม่สามารถทำได้โดยรถไฟ,,,
"Use high-flying jets to release sulfur aerosols or other particles into the stratosphere, which will reduce incoming solar radiation and cool the planet. Think of it as an artificial and permanent volcanic eruption. The consequences, however, are not fully understood.",ใช้เครื่องบินไอพ่นบินสูงเพื่อปล่อยละอองลอยกำมะถันหรืออนุภาคอื่น ๆ สู่ชั้นบรรยากาศสตราโตสเฟียร์ ซึ่งจะช่วยลดรังสีดวงอาทิตย์ที่เข้ามาและทำให้โลกเย็นลง คิดเสียว่าเป็นการจำลองการปะทุของภูเขาไฟแบบถาวร อย่างไรก็ตาม ผลที่ตามมายังไม่มีการศึกษาที่แน่ชัด,,ใช้เครื่องบินไอพ่นที่บินสูงเพื่อปล่อยสเปรย์ซัลเฟอร์หรืออนุภาคอื่น ๆ ลงในสตราโตสเฟียร์ซึ่งจะช่วยลดการแผ่รังสีแสงอาทิตย์ที่เข้ามาและทำให้ดาวเคราะห์เย็นลง คิดว่ามันเป็นการปะทุของภูเขาไฟเทียมและถาวร อย่างไรก็ตามผลที่ตามมาไม่เป็นที่เข้าใจอย่างสมบูรณ์,,,
"Achieve a goal set out in the Communist Manifesto: the 'gradual abolition of all the distinction between town and country by a more equable distribution of the populace over the country.' Bring culture into the countryside to combat the 'idiocy' of rural life. Bring farms and gardens into the city, so people can discover their green thumbs. ","บรรลุเป้าหมายที่กำหนดไว้ในแถลงการณ์คอมมิวนิสต์: ""การยกเลิกความแตกต่างระหว่างเมืองและประเทศอย่างค่อยเป็นค่อยไปโดยการกระจายจำนวนประชากรทั่วประเทศอย่างเท่าเทียมกันมากขึ้น"" นำวัฒนธรรมมาสู่ชนบทเพื่อต่อสู้กับความ ""โง่ จน เจ็บ"" ของชีวิตในชนบท นำฟาร์มและสวนเข้ามาในเมือง เพื่อให้คนได้ค้นพบความสามารถด้านการเกษตรของตัวเองเสียบ้าง",,บรรลุเป้าหมายที่กำหนดไว้ในแถลงการณ์คอมมิวนิสต์: 'การยกเลิกอย่างค่อยเป็นค่อยไปของความแตกต่างทั้งหมดระหว่างเมืองและประเทศโดยการกระจายที่เท่าเทียมกันของประชาชนทั่วประเทศ' นำวัฒนธรรมเข้ามาในชนบทเพื่อต่อสู้กับ 'ความโง่เขลา' ของชีวิตในชนบท นำฟาร์มและสวนมาสู่เมืองเพื่อให้ผู้คนสามารถค้นพบนิ้วโป้งสีเขียวของพวกเขา,,,
Transfer ancestral lands back to their historical stewards. Indigenous-managed territories often has greater biodiversity than comparable ecosystems.,คืนดินแดนของบรรพบุรุษกลับไปยังผู้พิทักษ์ประวัติศาสตร์ของพวกเขา ดินแดนที่ชนพื้นเมืองจัดการมักจะมีความหลากหลายทางชีววิทยามากกว่าระบบนิเวศที่เทียบเคียงได้,,ถ่ายโอนดินแดนบรรพบุรุษกลับไปยังผู้ดูแลประวัติศาสตร์ของพวกเขา ดินแดนที่มีการจัดการพื้นเมืองมักจะมีความหลากหลายทางชีวภาพมากกว่าระบบนิเวศที่เทียบเคียงได้,,,
Reduces need for fuel-intensive transport for the space industry.,ลดความจำเป็นในการขนส่งที่ใช้เชื้อเพลิงมากสำหรับอุตสาหกรรมอวกาศ,,ลดความต้องการการขนส่งที่ใช้เชื้อเพลิงมากสำหรับอุตสาหกรรมอวกาศ,,,
"Give students an anti-speciesist education where they question human supremacy. After all, what makes us so different from animals? Students will read classics such as 'Beasts of Burden', 'Animal Liberation', and 'Zoopolis'. This educational program will improve your relations with the Animal Liberationist.","ให้การศึกษาเกี่ยวกับการต่อต้านการแยกสายพันธุ์แก่นักเรียน ซึ่งพวกเขาจะได้ตั้งคำถามถึงอำนาจสูงสุดของมนุษย์ ท้ายที่สุดแล้ว อะไรทำให้เราแตกต่างจากสัตว์? นักเรียนจะได้อ่านหนังสือคลาสสิก เช่น ""Beasts of Burden"", ""Animal Liberation"" และ ""Zoopolis"" โปรแกรมการศึกษานี้จะเพิ่มความสัมพันธ์ของคุณกับกลุ่มปลดแอกสัตว์นิยม",,"ให้นักเรียนได้รับการศึกษาต่อต้านเผด็จการที่พวกเขาตั้งคำถามกับอำนาจสูงสุดของมนุษย์ ท้ายที่สุดแล้วอะไรที่ทำให้เราแตกต่างจากสัตว์? นักเรียนจะอ่านคลาสสิกเช่น 'Beasts of Burden', 'Liberation Animal' และ 'Zoopolis' โปรแกรมการศึกษานี้จะปรับปรุงความสัมพันธ์ของคุณกับนักปลดปล่อยสัตว์",,,
