English,Translation
Contract the economies of the wealthiest regions.,ทำเศรษฐกิจของภูมิภาคที่ร่ำรวยที่สุดให้หดตัวลง
Could increase,สามารถเพิ่ม
Could reduce,สามารถลด
Could unlock the %{tag} process.,สามารถปลดล็อกกระบวนการ %{tag}
Could unlock the %{tag} project.,สามารถปลดล็อกโครงการ %{tag}
Could unlock this process:,สามารถปลดล็อกกระบวนการนี้:
Could unlock this project:,สามารถปลดล็อกโครงการนี้:
Could unlock %{name}.,สามารถปลดล็อก %{name}
Credits,เครดิต
Crops,พืชผล
"Current annual emissions are %{emissions} gigatonnes. [g]Your goal is to get this to below 0.[/g]","การปล่อยประจำปีในปัจจุบันคือ %{emissions} กิกะตัน [g]เป้าหมายของคุณคือทำให้ต่ำกว่า 0[/g]"
"Current annual emissions are %{emissions}. [g]Your goal is to get this to below 0.[/g]","การปล่อยมลพิษประจำปีในปัจจุบันคือ %{emissions} [g] เป้าหมายของคุณคือการลดการปล่อยมลพิษให้ต่ำกว่า 0 [/g]"
"Current annual emissions, in gigatonnes of CO2 equivalent.",การปล่อยมลพิษประจำปีปัจจุบัน เทียบกับ CO2 ในหน่วยกิกะตัน
"Current biodiversity pressure is %{amount}[t]/%{maxAmount}[/t].","ความกดดันด้านความหลากหลายทางชีวภาพในปัจจุบันคือ %{amount}[t]/%{maxAmount}[/t]."
Current energy use.,การใช้พลังงานในปัจจุบัน
Current land use.,การใช้ที่ดินในปัจจุบัน
Current water demand.,ความต้องการน้ำในปัจจุบัน
"Current world contentedness is %{contentedness}[t]/%{maxContentedness}[/t].","ความพึงพอใจของโลกในปัจจุบันคือ %{contentedness}[t]/%{maxContentedness}[/t]."
Design,การออกแบบ
Development,การพัฒนา
Development Progress,ความก้าวหน้าในการพัฒนา
Disasters,ภัยพิบัติ
Dislikes,ไม่ชอบ
Downgrade,ลดระดับ
Drag a card up to assign leftover production,ลากการ์ดขึ้นเพื่อกำหนดการผลิตที่เหลือ
Electricity,ไฟฟ้า
Emissions,การปล่อยก๊าซ
Emissions: A shroud around the earth. You're emitting %{amount} gigatonnes per year.,การปล่อยมลพิษ: ตราสังห่อโลก คุณกำลังปล่อย %{amount} กิกะตันต่อปี
Energy Use,การใช้พลังงาน
Energy: The fundamental mover. You're using %{amount}TWh of energy.,พลังงาน: สิ่งพื้นฐานที่คอยขับเคลื่อนโลก คุณกำลังใช้พลังงาน %{amount} เทระวัตต์
Events,เหตุการณ์
Extinction Rate,อัตราการสูญพันธุ์
Fuel,เชื้อเพลิง
"Fuel demand will change from [i]%{iconFuel}[/i]%{prevDemandFuel} to [i]%{iconFuel}[/i]%{nextDemandFuel} and electricity demand will change from [i]%{iconElec}[/i]%{prevDemandElec} to [i]%{iconElec}[/i]%{nextDemandElec}.","ความต้องการเชื้อเพลิงจะเปลี่ยนจาก [i]%{iconFuel}[/i]%{prevDemandFuel} สู่ [i]%{iconFuel}[/i]%{nextDemandFuel} และความต้องการไฟฟ้าจะเปลี่ยนจาก [i]%{iconElec}[/i]%{prevDemandElec} สู่ [i]%{iconElec}[/i]%{nextDemandElec}."
Global demand for %{output}.,ความต้องการทั่วโลกสำหรับ %{output}
"Global %{name} output will change from [i]%{icon}[/i]%{base} to [i]%{icon}[/i]%{changed} with no change in impacts.","ผลของ %{name} ในระดับโลกจะเปลี่ยนจาก [i]%{icon}[/i]%{base} สู่ [i]%{icon}[/i]%{changed} โดยไม่มีผลข้างเคียง"
Govt,รัฐบาล
High,สูง
How many seats your coalition has. Draw parties to your coalition by implementing projects they support.,พันธมิตรของคุณมีกี่ที่นั่ง ดึงดูดฝ่ายต่าง ๆ ให้เป็นพันธมิตรกับคุณโดยใช้โครงการที่พวกเขาสนับสนุน
"How much political capital you have. Political capital is what you spend to implement your plans. [w]If you run out you'll be pushed out of government.[/w]","คุณมีทุนทางการเมืองมากแค่ไหน ทุนทางการเมืองคือสิ่งที่คุณใช้ในการดำเนินการตามแผนของคุณ [w] หากทุนทางการเมืองคุณหมดลง คุณจะถูกผลักดันออกจากรัฐบาล [/w]"
"How people around the world feel about the state of things. This is a combination of regional contentedness, crises, and policy decisions. [w]If this goes below 0 you will be removed from power.[/w]","ผู้คนทั่วโลกรู้สึกอย่างไรเกี่ยวกับสถานะของสิ่งต่าง ๆ นี่เป็นการผสมผสานระหว่างความพึงพอใจในระดับภูมิภาค วิกฤตการณ์ และการตัดสินใจเชิงนโยบาย  [w] หากความพึงพอใจต่ำกว่า 0 คุณจะถูกโค่นอำนาจ [/w]"
I request that you implement %{name}. (+%{pc}PC),ฉันขอให้คุณอนุมัติ %{name} (+%{pc}PC)
I request that you stop %{name}. (+%{pc}PC),ฉันขอให้คุณหยุด %{name} (+%{pc}PC)
Image:,ภาพ:
Improve your relationship with %{name} to activate this ability.,พัฒนาความสัมพันธ์ของคุณกับ %{name} เพื่อเปิดใช้งานความสามารถนี้
Increases,เพิ่มขึ้น
Infrastructure,โครงสร้างพื้นฐาน
Infrastructure projects take 20% longer to finish.,โครงการโครงสร้างพื้นฐานใช้เวลาเสร็จสิ้นนานขึ้น 20%
Land Use,การใช้ที่ดิน
Land: They're not making anymore of it. You're using %{percent} of land.,ที่ดิน: ไม่มีเพิ่มให้อีกแล้ว คุณกำลังใช้ที่ดิน %{percent}
Level,ระดับ
Likely to increase,มีแนวโน้มที่จะเพิ่ม
Likely to reduce,มีแนวโน้มที่จะลด
Likely to unlock the %{tag} process.,มีแนวโน้มที่จะปลดล็อกกระบวนการ %{tag}
Likely to unlock the %{tag} project.,มีแนวโน้มที่จะปลดล็อกโครงการ %{tag}
Likely to unlock this process:,มีแนวโน้มที่จะปลดล็อกกระบวนการนี้:
Likely to unlock this project:,มีแนวโน้มที่จะปลดล็อกโครงการนี้:
Likely to unlock %{name}.,มีแนวโน้มที่จะปลดล็อก %{name}
Likes,ชอบ
Livestock,ปศุสัตว์
Loading,กำลังโหลด
Low,ต่ำ
Lower habitability means unhappier people who may need to migrate to more hospitable locales.,อัตราความเป็นอยู่ต่ำลงย่อมหมายถึงคนไม่มีความสุขมากขึ้น อาจจำเป็นต้องย้ายไปยังสถานที่ที่มีความเป็นอยู่ที่ดีขึ้น
Max Level,ระดับสูงสุด
Menu,เมนู
Migrations will have less of an impact when they occur. But there might be other consequences.,เมื่อเกิดการย้ายถิ่นจะมีผลกระทบน้อยลง แต่อาจมีผลอื่น ๆ ตามมา
Moderate,ปานกลาง
Music,ดนตรี
N2O,N2O
Nay,ไม่่
New Game,เริ่มเกมใหม่
Next,ถัดไป
Next Level,ระดับถัดไป
Off,ปิด
On,เปิด
One production point represents 5% of an entire production sector's productive capacity.,การผลิตหนึ่งจุดคิดเป็น 5% ของกำลังการผลิตทั้งหมดของภาคการผลิต
Only direct impacts are shown.,ผลกระทบโดยตรงเท่านั้นที่ถูกแสดง
Parliament,รัฐสภา
Parliament Suspended,พักรัฐสภา
Parliament is conspiring against you.,รัฐสภากำลังสมคบคิดกันต่อต้านคุณ.
Parliament is ready to work with you.,รัฐสภาพร้อมที่จะทำงานร่วมกับคุณ.
Parliament trusts you completely.,รัฐสภาไว้วางใจคุณอย่างสมบูรณ์.
Passing,การผ่านร่าง
People are content.,ผู้คนรู้สึกพอใจ.
People are ecstatic.,ผู้คนดีใจเหลือล้น.
People are furious.,ผู้คนโกรธมาก.
People are happy.,ผู้คนมีความสุข.
People are unhappy.,ผู้คนไม่มีความสุข.
People are upset.,ผู้คนอารมณ์เสีย.
Plan,วางแผน
Playtesting,ทดสอบเล่น
Policies,นโยบาย
Policy Outcome,ผลลัพธ์นโยบาย
Political Capital,ทุนทางการเมือง
Political Effects,ผลกระทบทางการเมือง
Population,ประชากร
Post-Revolution Optimism,สุทรรศนิยมยุคหลังปฏิวัติ
Prev Level,ระดับก่อนหน้า
Prevents or stops metal shortages.,ป้องกันหรือหยุดการขาดแคลนโลหะ
Project Completed,โครงการเสร็จสมบูรณ์
Read the book,อ่านหนังสือ
Ready,พร้อม
Recent Disasters,ภัยพิบัติล่าสุด
Reduce the habitability of regions.,ลดความอยู่ได้ของภูมิภาค
Reduces,ลดลง
Region Contracted,ภูมิภาคหดตัว
Region Developed,ภูมิภาคถูกพัฒนาขึ้น
Regions,ภูมิภาค
Remove points,ลบคะแนน
Repeat the tutorial.,ทำบทช่วยสอนอีกครั้ง
Report,รายงาน
Research,วิจัย
Research and Writing,การวิจัยและการเขียน
Research and infrastructure take 10% less time to complete.,การวิจัยและโครงสร้างพื้นฐานใช้เวลาน้อยลง 10%
Research and infrastructure take 10% more time to complete.,การวิจัยและโครงสร้างพื้นฐานต้องใช้เวลาเพิ่มขึ้น 10%
Research and infrastructure take 5% more time to complete.,การวิจัยและโครงสร้างพื้นฐานใช้เวลาเพิ่มขึ้น 5%
"Research points are 1[i]%{iconPC}[/i] cheaper.","คะแนนวิจัยถูกลง 1[i]%{iconPC}[/i]"
Research points: Allocate them to research projects!,คะแนนการวิจัย: จัดสรรให้กับโครงการวิจัย!
Researching,กำลังวิจัย
Restart Game,รีสตาร์ทเกม
Restoration projects take 10% less time to complete.,โครงการฟื้นฟูใช้เวลาน้อยลง 10%
Sea Level Rise,ระดับน้ำทะเลสูงขึ้น
Seceded,ถูกแยกออก
Sector,ภาค
Skip,ข้าม
Skip the tutorial.,ข้ามบทช่วยสอน
Small chance to increase,มีโอกาสเล็กน้อยที่จะเพิ่ม
Small chance to reduce,มีโอกาสเล็กน้อยที่จะลด
Small chance to unlock the %{tag} process.,โอกาสเล็กน้อยในการปลดล็อกกระบวนการ %{tag}
Small chance to unlock the %{tag} project.,โอกาสเล็กน้อยในการปลดล็อกโครงการ %{tag}
Small chance to unlock this process:,โอกาสเล็กน้อยในการปลดล็อกกระบวนการนี้:
Small chance to unlock this project:,มีโอกาสเล็กน้อยในการปลดล็อกโครงการนี้:
Small chance to unlock %{name}.,โอกาสเล็กน้อยในการปลดล็อก %{name}
Sound,เสียง
Stats,สถิติ
Stops regional development throughout the world.,หยุดการพัฒนาระดับภูมิภาคทั่วโลก
Tap for more details.,กดเพื่ออ่านรายละเอียดเพิ่มเติม
Temp. Anomaly,ความผิดปกติทางอุณหภูมิ
Temperature,อุณหภูมิ
Thank you for playing!,ขอบคุณที่ร่วมเล่น!
That's a %{percent}% change.,เท่ากับว่าเปลี่ยนไป %{percent}%
The amount of sea level rise is currently %{amount}m.,ปริมาณของระดับน้ำทะเลที่สูงขึ้นในปัจจุบันอยู่ที่ %{amount} ม.
"The current biodiversity pressure. High land use and other factors increase this, and with it, the risk of ecological collapse.",ความกดดันด้านความหลากหลายทางชีวภาพในปัจจุบัน การใช้ประโยชน์จากที่ดินในระดับสูงและปัจจัยอื่น ๆ จะเป็นตัวเพิ่มความกดดันดังกล่าว และด้วยเหตุนี้จึงมีความเสี่ยงที่ระบบนิเวศจะล่มสลาย
"The current biodiversity pressure. High land use and other factors increase this, and with it, the risk of ecological collapse. [g]Your goal is to get this to below 20.[/g]","ความกดดันด้านความหลากหลายทางชีวภาพในปัจจุบัน การใช้ที่ดินสูงและปัจจัยอื่น ๆ จะทำให้ความกดดันดังกล่าวเพิ่มขึ้น และจะมีความเสี่ยงของการล่มสลายของระบบนิเวศ [g] เป้าหมายของคุณคือการทำให้ความกดดันนี้ต่ำกว่า 20 [/g]"
"The current global temperature anomaly is +%{anomaly}°C. The higher this is, the more unpredictable the climate becomes. [g]Your goal is to get this below 1°C.[/g]","ความผิดปกติของอุณหภูมิโลกในปัจจุบันคือ +%{anomaly}°C ยิ่งอุณหภูมิสูงขึ้นเท่าไร สภาพอากาศยิ่งคาดเดาไม่ได้มากขึ้นเท่านั้น [g] เป้าหมายของคุณคือการทำให้อุณหภูมิต่ำกว่า 1°C [/g]"
"The current global temperature anomaly. [b]Increased warming[/b] will damage your political capital. [g]Your goal is to get this below 1°C.[/g]","ความผิดปกติของอุณหภูมิโลกในปัจจุบัน [b] ภาวะโลกร้อนที่เพิ่มขึ้น [/b] จะทำลายทุนทางการเมืองของคุณ [g] เป้าหมายของคุณคือการทำให้อุณหภูมิต่ำกว่า 1°C [/g]"
The estimated value after production changes have finished.,มูลค่าโดยประมาณหลังจากการเปลี่ยนแปลงการผลิตเสร็จสิ้น
The factors behind this event.↓,ปัจจัยที่อยู่เบื้องหลังเหตุการณ์นี้↓
The following processes can't produce as much as they need to: %{processesOverLimit},กระบวนการต่อไปนี้ไม่สามารถผลิตได้มากเท่าที่พวกเขาต้องการ: %{processesOverLimit}
The number of people on the planet.,จำนวนคนบนโลก
The world is becoming hostile to life.,โลกกำลังเป็นภัยคุกคามต่อการดำรงชีวิต.
The world is becoming unbearable.,โลกกำลังเข้าสภาวะที่รับไม่ได้.
The world is recovering.,โลกกำลังฟื้นตัว.
The world is still warming.,โลกยังอุ่นอยู่.
The %{n}%{ext} Planning Session,%{n}%{ext} ช่วงวางแผน
There are multiple production shortages:,มีการขาดแคลนการผลิตหลายครั้ง:
There is a alarming production shortage,มีปัญหาการขาดแคลนการผลิตในระดับควรระวัง
There is a critical production shortage,มีปัญหาการขาดแคลนการผลิตในระดับวิกฤต
There is a mild production shortage,มีปัญหาการขาดแคลนการผลิตในระดับต่ำ
There is a severe production shortage,มีปัญหาการขาดแคลนการผลิตในระดับรุนแรง
There is currently no limit on this process' mix share.,ขณะนี้ยังไม่มีการจำกัดสัดส่วนของกระบวนการนี้
There is not enough %{resources}. You should change your production mixes to use less of these or reduce demand elsewhere.,มี %{resources} ไม่เพียงพอ คุณควรเปลี่ยนสัดส่วนการผลิตของคุณเพื่อใช้มันให้น้อยลง หรือลดความต้องการในที่อื่น
These changes will take %{changesTime} planning cycle%{ext} to take effect.,การเปลี่ยนแปลงเหล่านี้จะใช้เวลา %{changesTime} รอบการวางแผน %{ext} จึงจะมีผล
They won't have much effect.,มันจะไม่ส่งผลมากนัก
"This changes regional contentedness based on demand for %{name}. Current world contentedeness is %{amount}[t]/%{maxAmount}[/t].","นี่จะเปลี่ยนแปลงความพึงพอใจในภูมิภาคนี้ ซึ่งขึ้นอยู่กับความต้องการ %{name} ความพึงพอใจของโลกในปัจจุบันคือ %{amount}[t]/%{maxAmount}[/t]."
"This changes regional contentedness based on income level (wealthier regions will feel it more). Current world contentedeness is %{contentedness}[t]/%{maxContentedness}[/t].","สิ่งนี้จะเปลี่ยนแปลงความพึงพอใจในภูมิภาคตามระดับรายได้ (ภูมิภาคที่ร่ำรวยกว่าจะรู้สึกถึงผลกระทบมากกว่า) ความพึงพอใจของโลกในปัจจุบันคือ %{contentedness}[t]/%{maxContentedness}[/t]."
"This changes %{name} demand from [i]%{icon}[/i]%{currentDemand} to [i]%{icon}[/i]%{afterDemand}.","นี่จะเปลี่ยนอุปสงค์ %{name} จาก [i]%{icon}[/i]%{currentDemand} สู่ [i]%{icon}[/i]%{afterDemand}."
"This changes %{name} demand from [i]%{icon}[/i]%{currentDemand} to [i]%{icon}[/i]%{afterDemand}. This is a %{percent}% change of all %{name} demand.","นี่จะเปลี่ยนอุปสงค์ %{name} จาก [i]%{icon}[/i]%{currentDemand} สู่ [i]%{icon}[/i]%{afterDemand}. คิดเป็นการเปลี่ยนแปลง %{percent}% จากอุปสงค์ %{name} ทั้งหมด"
"This event can occur if ""%{name}"" is %{label}.","เหตุการณ์นี้สามารถเกิดขึ้นได้หาก ""%{name}"" คือ %{label}"
This event can occur if %{name} is your %{relType}.,เหตุการณ์นี้สามารถเกิดขึ้นได้หาก %{name} เป็น {reltype} ของคุณ
This event is influenced by biodiversity pressures.,เหตุการณ์นี้ได้รับอิทธิพลจากแรงกดดันของความหลากหลายทางชีวภาพ
This event is influenced by how happy people are.,เหตุการณ์นี้ได้รับอิทธิพลจากความสุขของผู้คน
This event is influenced by how much energy production can meltdown.,เหตุการณ์นี้ได้รับอิทธิพลจากปริมาณการผลิตพลังงานที่สามารถหลอมละลายได้
This event is influenced by how much energy production is intermittent.,เหตุการณ์นี้ได้รับอิทธิพลจากการผลิตพลังงานเป็นระยะ ๆ
This event is influenced by how much energy production produces nuclear waste.,เหตุการณ์นี้ได้รับอิทธิพลจากปริมาณการผลิตพลังงานที่ผลิตของเสียนิวเคลียร์
This event is influenced by how much energy production uses fossil fuels.,เหตุการณ์นี้ได้รับอิทธิพลจากจำนวนการผลิตพลังงานจากเชื้อเพลิงฟอสซิล
This event is influenced by how much food production uses livestock.,เหตุการณ์นี้ได้รับอิทธิพลจากจำนวนการผลิตอาหารที่ใช้ปศุสัตว์
This event is influenced by how much food production uses pesticides.,เหตุการณ์นี้ได้รับอิทธิพลจากจำนวนการผลิตอาหารที่ใช้ยาฆ่าแมลง
This event is influenced by how much production involves carbon capture and storage.,เหตุการณ์นี้ได้รับอิทธิพลจากจำนวนการผลิตที่เกี่ยวข้องกับการจับและจัดเก็บคาร์บอน
This event is influenced by how production is especially labor-intensive.,เหตุการณ์นี้ได้รับอิทธิพลจากการผลิตที่พึ่งพาการใช้แรงงานมาก
This event is influenced by the amount of sea level rise.,เหตุการณ์นี้ได้รับอิทธิพลจากปริมาณน้ำทะเลที่สูงขึ้น
This event is influenced by the demand for animal calories.,เหตุการณ์นี้ได้รับอิทธิพลจากความต้องการแคลอรี่สัตว์
This event is influenced by the demand for electricity.,เหตุการณ์นี้ได้รับอิทธิพลจากความต้องการไฟฟ้า
This event is influenced by the demand for fuel.,เหตุการณ์นี้ได้รับอิทธิพลจากความต้องการเชื้อเพลิง
This event is influenced by the demand for plant calories.,เหตุการณ์นี้ได้รับอิทธิพลจากความต้องการแคลอรี่พืช
This event is influenced by the global temperature anomaly.,เหตุการณ์นี้ได้รับอิทธิพลจากความผิดปกติของอุณหภูมิโลก
This event is influenced by the habitability of regions.,เหตุการณ์นี้ได้รับอิทธิพลจากความเป็นอยู่ของภูมิภาค
This event is influenced by the mix share of %{name}.,เหตุการณ์นี้ได้รับอิทธิพลจากการปันส่วนผสมของ {ชื่อ}
This event is influenced by the output of %{name}.,เหตุการณ์นี้ได้รับอิทธิพลจากผลลัพธ์ของ %{name}
This event occurred during this planning cycle.,เหตุการณ์นี้เกิดขึ้นในระหว่างรอบการวางแผนนี้
This feedstock has been depleted.,วัตถุดิบนี้หมดแล้ว
"This feedstock is depleted, so this process is stopped. You should reallocate its points to other processes.",วัตถุดิบนี้หมดลง ดังนั้นกระบวนการนี้จึงหยุดลง คุณควรจัดสรรคะแนนให้กับกระบวนการอื่น ๆ อีกครั้ง
This industry is not yet significant.,อุตสาหกรรมนี้ยังไม่สำคัญ
This industry's demand for %{output}. This makes up %{percent}% of total demand for %{output}.,ความต้องการ %{output} ของอุตสาหกรรมนี้ คิดเป็น %{percent}% ของความต้องการทั้งหมดสำหรับ %{output}
This industry's non-energy CO2eq emissions.,การปล่อย CO2eq ที่ไม่ใช่พลังงานของอุตสาหกรรมนี้
This is not the end...,นี่ไม่ใช่จุดจบ...
This new character will be unlocked:,ตัวละครใหม่นี้จะถูกปลดล็อก:
This output's production will,ผลจากการผลิตนี้จะ
This policy costs %{remainingCost} political capital to implement.,นโยบายนี้ใช้ %{remainingCost} ในการดำเนินการ
This process can't produce this much because of feedstock or other limits. You should reallocate its points to other processes.,กระบวนการนี้ไม่สามารถผลิตได้มากนักเนื่องจากขาดวัตถุดิบหรือมีขีดจำกัดอื่น ๆ คุณควรจัดสรรคะแนนให้กับกระบวนการอื่น ๆ อีกครั้ง
This process currently makes up %{mixPercent}% of %{output} production.,กระบวนการนี้คิดเป็น %{mixPercent}% ของการผลิต %{output}
This process currently produces %{amount}[i]%{outputIcon}[/i] and %{emissions}[i]%{emissionsIcon}[/i] per year.,"กระบวนการนี้สร้าง %{amount}[i]%{outputIcon}[/i] และ %{emissions}[i]%{emissionsIcon}[/i] ต่อปี"
This process uses %{feedstockName}. %{feedstockEstimateDesc},กระบวนการนี้ใช้ %{feedstockName} %{feedstockEstimateDesc}
This project was completed.,โครงการนี้เสร็จสมบูรณ์แล้ว
This region has %{incomeName} living standards. Higher living standards mean higher material footprints.,ภูมิภาคนี้มีมาตรฐานการดำรงชีวิต %{incomeName} สูงขึ้น ซึ่งการมีมาตรฐานการดำรงชีวิตที่สูงขึ้นหมายถึงร่องรอยทางวัตถุที่สูงขึ้น
This region's contentedness.,ความพึงพอใจของภูมิภาคนี้
This region's current precipitation range.,ช่วงการเร่งรัดในปัจจุบันของภูมิภาคนี้
This region's current temperature range.,ช่วงอุณหภูมิปัจจุบันของภูมิภาคนี้
This region's habitability.,ระดับการอาศัยอยู่ได้ของภูมิภาคนี้
This region's habitability. Natural disasters and hotter temperatures lower habitability.,ความเป็นอยู่ของภูมิภาคนี้ ภัยพิบัติทางธรรมชาติและอุณหภูมิที่ร้อนกว่าที่อยู่อาศัยลดลง
"This region's income level has contracted to [b]%{income}[/b]. Demand for [i]%{iconElec}[/i]electricity, [i]%{iconFuel}[/i]fuel, [i]%{iconPCals}[/i]plant and [i]%{iconACals}[/i]animal-based food has been updated.","ระดับรายได้ของภูมิภาคนี้หดตัวลงไปที่ [b]%{income}[/b] ความต้องการ [i]%{iconElec}[/i]ไฟฟ้า [i]%{iconFuel}[/i]เชื้อเพลิง [i]%{iconPCals}[/i]อาหารจากพืช และ[i]%{iconACals}[/i]สัตว์ได้รับการปรับปรุงแล้ว"
"This region's income level has increased to [b]%{income}[/b]. Demand for [i]%{iconElec}[/i]electricity, [i]%{iconFuel}[/i]fuel, [i]%{iconPCals}[/i]plant and [i]%{iconACals}[/i]animal-based food has been updated.","ระดับรายได้ของภูมิภาคนี้เพิ่มขึ้นเป็น [b]%{income}[/b] ความต้องการ [i]%{iconElec}[/i]ไฟฟ้า [i]%{iconFuel}[/i]เชื้อเพลิง [i]%{iconPCals}[/i]อาหารจากพืช และ[i]%{iconACals}[/i]สัตว์ได้รับการปรับปรุงแล้ว"
This region's new demand for %{output}.,ความต้องการใหม่สำหรับภูมิภาคนี้ %{output}
This region's new income level.,ระดับรายได้ใหม่ในภูมิภาคนี้
